headword,pronunciation
abelard,a ˈ b ɛ l a r t
abidżan,ˈ a bʲ i d ʒ̑ ã n
abidżan,a bʲ ˈ i d ʒ̑ ã n
abisynia,ˌ a bʲ i ˈ s ɨ̃ ɲ j a
abisynka,ˌ a bʲ i ˈ s ɨ̃ n k a
abisyńczyk,ˌ a bʲ i ˈ s ɨ̃ j̃ n͇ t ʃ̑ ɨ k
aborygen,ˌ a b ɔ ˈ r ɨ ɡ ɛ̃ n
abraham,a b ˈ r a x ã m
abram,ˈ a b r ã m
abramczyk,a b ˈ r ã m t ʃ̑ ɨ k
abramowice,ˌ a b r ã m ɔ ˈ vʲ i t s̑ ɛ
abramów,a b ˈ r ã m u f
abruzja,a b ˈ r u zʲ j a
abruzyjczyk,ˌ a b r u ˈ z ɨ j t ʃ̑ ɨ k
abruzyjka,ˌ a b r u ˈ z ɨ j k a
abudża,a ˈ b u d ʒ̑ a
abuzabijczyk,ˌ a b u z a ˈ bʲ i j t ʃ̑ ɨ k
abuzabijka,ˌ a b u z a ˈ bʲ i j k a
abwehra,a b ˈ v ɛ r a
achaj,ˈ a x a j
achaja,a ˈ x a j a
achajczyk,a ˈ x a j t ʃ̑ ɨ k
achajka,a ˈ x a j k a
achilles,a ˈ ç i lː ɛ s
achitofel,ˌ a ç i ˈ t ɔ f ɛ l
ada,ˈ a d a
adalbert,a ˈ d a l b ɛ r t
adam,ˈ a d ã m
adamawa,ˌ a d ã ˈ m a v a
adamowice,ˌ a d ã m ɔ ˈ vʲ i t s̑ ɛ
adampol,a ˈ d ã m p ɔ l
adamów,a ˈ d ã m u f
adamówka,ˌ a d ã ˈ m u f k a
adana,a ˈ d ã n a
adaś,ˈ a d a ɕ
adela,a ˈ d ɛ l a
adelajda,ˌ a d ɛ ˈ l a j d a
adelina,ˌ a d ɛ ˈ lʲ ĩ n a
adolf,ˈ a d ɔ l f
adonis,a ˈ d ɔ̃ ɲ i s
adrian,ˈ a d rʲ j ã n
adriana,a ˈ d rʲ j ã n a
adrianna,a ˈ d rʲ j ã nː a
adriatyk,a ˈ d rʲ j a t ɨ k
afganiec,a v ˈ ɡ ã ɲ ɛ t s̑
afganistan,ˌ a v ɡ ã ˈ ɲ i s t ã n
afganka,a v ˈ ɡ ã ŋ k a
afgańczyk,a v ˈ ɡ ã j̃ n͇ t ʃ̑ ɨ k
afroamerykanin,ˌ a f r ɔ ã m ɛ r ɨ ˈ k ã ɲ ĩ n
afrodyta,ˌ a f r ɔ ˈ d ɨ t a
afrodyzja,ˌ a f r ɔ ˈ d ɨ zʲ j a
afryka,ˈ a f r ɨ k a
afrykanin,ˌ a f r ɨ ˈ k ã ɲ ĩ n
afrykanka,ˌ a f r ɨ ˈ k ã ŋ k a
afrykańczyk,ˌ a f r ɨ ˈ k ã j̃ n͇ t ʃ̑ ɨ k
ag,a ˈ ɟ ɛ
ag,ˈ c ɕ ɛ̃ ŋ ɡ a ˌː ɡ ɛ ˈ s u p w s u p u ʃ a
aga,ˈ a ɡ a
agata,a ˈ ɡ a t a
aglaja,a ɡ ˈ l a j a
agnieszka,a ɟ ˈ ɲ ɛ ʃ k a
agrykola,ˌ a ɡ r ɨ ˈ k ɔ l a
agrypina,ˌ a ɡ r ɨ ˈ pʲ ĩ n a
agryppa,a ˈ ɡ r ɨ pː a
ajschylos,a j s ˈ x ɨ l ɔ s
akadia,a ˈ k a dʲ j a
akra,ˈ a k r a
akropol,a ˈ k r ɔ p ɔ l
akwileja,ˌ a k fʲ i ˈ l ɛ j a
akwilon,a ˈ k fʲ i l ɔ̃ n
akwitania,ˌ a k fʲ i ˈ t ã ɲ j a
akwizgran,a ˈ k fʲ i z ɡ r ã n
ala,ˈ a l a
alabama,ˌ a l a ˈ b ã m a
aladyn,a ˈ l a d ɨ̃ n
alan,ˈ a l ã n
alaska,a ˈ l a s k a
albania,a l ˈ b ã ɲ j a
albanka,a l ˈ b ã ŋ k a
albańczyk,a l ˈ b ã j̃ n͇ t ʃ̑ ɨ k
albert,ˈ a l b ɛ r t
alberta,a l ˈ b ɛ r t a
albigowa,ˌ a l bʲ i ˈ ɡ ɔ v a
albin,ˈ a l bʲ ĩ n
aldebaran,ˌ a l d ɛ ˈ b a r ã n
aldona,a l ˈ d ɔ̃ n a
alek,ˈ a l ɛ k
aleksander,ˌ a l ɛ ˈ k s ã n d ɛ r
aleksandra,ˌ a l ɛ ˈ k s ã n d r a
aleksandria,ˌ a l ɛ ˈ k s ã n d rʲ j a
aleksandrów,ˌ a l ɛ ˈ k s ã n d r u f
aleksandrówka,ˌ a l ɛ k s ã n ˈ d r u f k a
aleksja,a ˈ l ɛ k sʲ j a
aleksy,a ˈ l ɛ k s ɨ
alfons,ˈ a l f ɔ̃ w̃ s
alfred,ˈ a l f r ɛ t
alfreda,a l f ˈ r ɛ d a
algier,ˈ a lʲ ɟ ɛ r
algierczyk,a lʲ ˈ ɟ ɛ r t ʃ̑ ɨ k
algieria,a lʲ ˈ ɟ ɛ rʲ j a
algierka,a lʲ ˈ ɟ ɛ r k a
algol,ˈ a l ɡ ɔ l
ali,ˈ a lʲ i
alicja,a ˈ lʲ i t s̑ʲ j a
alina,a ˈ lʲ ĩ n a
alkione,a lʲ ˈ c ɔ̃ n ɛ
allah,ˈ a lː a x
alofi,a ˈ l ɔ fʲ i
alojzy,a ˈ l ɔ j z ɨ
alojzów,a ˈ l ɔ j z u f
alpy,ˈ a l p ɨ
alwernia,a l ˈ v ɛ rʲ ɲ a
alzacja,a l ˈ z a t s̑ʲ j a
alzatczyk,a l ˈ z a ṭ t ʃ̑ ɨ k
alzatka,a l ˈ z a t k a
am,ˈ c ɕ ɛ̃ ŋ ɡ a ã ˈ m ɔ s a
amadeusz,ˌ ã m a ˈ d ɛ s u p w s u p u ʃ
amalia,ã ˈ m a lʲ j a
amanda,ã ˈ m ã n d a
amazonia,ˌ ã m a ˈ z ɔ̃ ɲ j a
amazonka,ˌ ã m a ˈ z ɔ̃ n k a
ambrozja,ã m ˈ b r ɔ zʲ j a
ambroży,ã m ˈ b r ɔ ʒ ɨ
amelia,ã ˈ m ɛ lʲ j a
ameryka,ã ˈ m ɛ r ɨ k a
amerykanin,ˌ ã m ɛ r ɨ ˈ k ã ɲ ĩ n
amerykanka,ˌ ã m ɛ r ɨ ˈ k ã n k a
ami,ˈ ã mʲ i
amilkar,ã ˈ mʲ i l k a r
amman,ˈ ã mː ã n
amon,ˈ ã m ɔ̃ n
amos,ˈ ã m ɔ s
amsterdam,ã m ˈ s t ɛ r d ã m
amu-daria,ˌ ã m u ˈ d a rʲ j a
amur,ˈ ã m u r
anadyr,ã ˈ n a d ɨ r
ananiasz,ã ˈ n ã ɲ a ʃ
ananke,ã ˈ n ã ŋ k ɛ
anastazja,ˌ ã n a ˈ s t a zʲ j a
anastazy,ˌ ã n a ˈ s t a z ɨ
anatol,ã ˈ n a t ɔ l
anatolia,ˌ ã n a ˈ t ɔ lʲ j a
anatolijczyk,ˌ ã n a t ɔ ˈ lʲ i j t ʃ̑ ɨ k
anatolijka,ˌ ã n a t ɔ ˈ lʲ i j k a
andaluzja,ˌ ã n d a ˈ l u zʲ j a
andaluzyjczyk,ˌ ã n d a l u ˈ z ɨ j t ʃ̑ ɨ k
andaluzyjka,ˌ ã n d a l u ˈ z ɨ j k a
andora,ã n ˈ d ɔ r a
andorczyk,ã n ˈ d ɔ r t ʃ̑ ɨ k
andorka,ã n ˈ d ɔ r k a
andrea,ã n ˈ d r ɛ a
andromeda,ˌ ã n d r ɔ̃ ˈ m ɛ d a
andrychów,ã n ˈ d r ɨ x u f
andrzej,ˈ ã n ḍ ʒ ɛ j
andrzeja,ã n ˈ ḍ ʒ ɛ j a
andy,ˈ ã n d ɨ
aneta,ã ˈ n ɛ t a
angelika,ˌ ã ŋ ɡ ɛ ˈ lʲ i k a
angielka,ã ŋʲ ˈ ɟ ɛ l k a
anglia,ˈ ã ŋ ɡ lʲ j a
anglik,ˈ ã ŋ ɡ lʲ i k
angol,ˈ ã ŋ ɡ ɔ l
angola,ã ŋ ˈ ɡ ɔ l a
angolczyk,ã ŋ ˈ ɡ ɔ l t ʃ̑ ɨ k
angolijczyk,ˌ ã ŋ ɡ ɔ ˈ lʲ i j t ʃ̑ ɨ k
angolijka,ˌ ã ŋ ɡ ɔ ˈ lʲ i j k a
angolka,ã ŋ ˈ ɡ ɔ l k a
ania,ˈ ã ɲ a
aniela,ã ˈ ɲ ɛ l a
anioł,ˈ ã ɲ ɔ w
anita,ã ˈ ɲ i t a
anitka,ã ˈ ɲ i t k a
anka,ˈ ã ŋ k a
ankara,ã ŋ ˈ k a r a
anna,ˈ ã nː a
annamaria,ˌ ã nː ã ˈ m a rʲ j a
annasz,ˈ ã nː a ʃ
annopol,ã n ˈː ɔ p ɔ l
antananarywa,ˌ ã n t ã n ã n a ˈ r ɨ v a
antares,ã n ˈ t a r ɛ s
antarktyda,ˌ ã n t a r k ˈ t ɨ d a
antarktyka,ã n ˈ t a r k t ɨ k a
antek,ˈ ã n t ɛ k
antioch,ˈ ã n tʲ j ɔ x
antoni,ã n ˈ t ɔ̃ ɲ i
antonia,ã n ˈ t ɔ̃ ɲ j a
antonina,ˌ ã n t ɔ̃ ˈ ɲ ĩ n a
antoniowa,ˌ ã n t ɔ̃ ˈ ɲ ɔ v a
antwerpia,ã n t ˈ f ɛ r pʲ j a
anubis,ã ˈ n u bʲ i s
anzelm,ˈ ã w̃ z ɛ l m
ap,ˌ a p ɔ k a ˈ lʲ i p s a ɕ fʲ j ɛ̃ n ˈ t ɛ ɡ ɔ ˈ j ã n a
apeliotes,ˌ a p ɛ ˈ lʲ j ɔ t ɛ s
apeniny,ˌ a p ɛ̃ ˈ ɲ ĩ n ɨ
apia,ˈ a pʲ j a
apolinary,ˌ a p ɔ lʲ ĩ ˈ n a r ɨ
apollo,a ˈ p ɔ lː ɔ
apolonia,ˌ a p ɔ ˈ l ɔ̃ ɲ j a
apoloniusz,ˌ a p ɔ ˈ l ɔ̃ ɲ u ʃ
appalachy,ˌ a pː a ˈ l a x ɨ
arab,ˈ a r a p
arabela,ˌ a r a ˈ b ɛ l a
arabia,a ˈ r a bʲ j a
arabika,a ˈ r a bʲ i k a
arabka,a ˈ r a p k a
aragonia,ˌ a r a ˈ ɡ ɔ̃ ɲ j a
aramejczyk,ˌ a r ã ˈ m ɛ j t ʃ̑ ɨ k
aramejka,ˌ a r ã ˈ m ɛ j k a
ararat,a ˈ r a r a t
arbela,a r ˈ b ɛ l a
archangielsk,a r ˈ x ã ŋʲ ɟ ɛ l s k
archimedes,ˌ a r ç ĩ ˈ m ɛ d ɛ s
arek,ˈ a r ɛ k
ares,ˈ a r ɛ s
argentyna,ˌ a r ɡ ɛ̃ n ˈ t ɨ̃ n a
argentynka,ˌ a r ɡ ɛ̃ n ˈ t ɨ̃ ŋ k a
argentyńczyk,ˌ a r ɡ ɛ̃ n ˈ t ɨ̃ j̃ n͇ t ʃ̑ ɨ k
argus,ˈ a r ɡ u s
argymir,a r ˈ ɡ ɨ̃ mʲ i r
aria,ˈ a rʲ j a
ariadna,a rʲ ˈ j a d n a
ariel,ˈ a rʲ j ɛ l
arizona,ˌ a rʲ i ˈ z ɔ̃ n a
arkadia,a r ˈ k a dʲ j a
arkadiusz,a r ˈ k a dʲ j u ʃ
arkady,a r ˈ k a d ɨ
arkansas,ˈ a r k ã w̃ s ɔ
arkansas,a r ˈ k ã w̃ z a s
arktur,ˈ a r k t u r
arktyka,ˈ a r k t ɨ k a
arleta,a r ˈ l ɛ t a
armageddon,ˌ a r m a ˈ ɡ ɛ dː ɔ̃ n
armagedon,ˌ a r m a ˈ ɡ ɛ d ɔ̃ n
armenia,a r ˈ m ɛ̃ ɲ j a
armenka,a r ˈ m ɛ̃ ŋ k a
armeńczyk,a r ˈ m ɛ̃ j̃ n͇ t ʃ̑ ɨ k
armida,a r ˈ mʲ i d a
arnold,ˈ a r n ɔ l t
aron,ˈ a r ɔ̃ n
arseniusz,a r ˈ s ɛ̃ ɲ u ʃ
artemida,ˌ a r t ɛ̃ ˈ mʲ i d a
artemis,a r ˈ t ɛ̃ mʲ i s
artur,ˈ a r t u r
aruba,a ˈ r u b a
aryjczyk,a ˈ r ɨ j t ʃ̑ ɨ k
arystokles,ˌ a r ɨ ˈ s t ɔ k l ɛ s
arystoteles,ˌ a r ɨ s t ɔ ˈ t ɛ l ɛ s
as,a s
asia,ˈ a ɕ a
asklepios,a s ˈ k l ɛ pʲ j ɔ s
asmara,a s ˈ m a r a
astana,a ˈ s t ã n a
asteria,a ˈ s t ɛ rʲ j a
astrachań,a ˈ s t r a x ã ɲ
astronomia,ˌ a s t r ɔ̃ ˈ n ɔ̃ mʲ j a
asyria,a ˈ s ɨ rʲ j a
asyryjczyk,ˌ a s ɨ ˈ r ɨ j t ʃ̑ ɨ k
asyż,ˈ a s ɨ ʃ
aszchabad,a ʃ ˈ x a b a t
atena,a ˈ t ɛ̃ n a
ateny,a ˈ t ɛ̃ n ɨ
ateńczyk,a ˈ t ɛ̃ j̃ n͇ t ʃ̑ ɨ k
atlantyda,ˌ a t l ã n ˈ t ɨ d a
atlantyk,a ˈ t l ã n t ɨ k
atlas,ˈ a t l a s
atma,ˈ a t m a
august,ˈ a w ɡ u s t
augusta,a w ˈ ɡ u s t a
augustyn,a w ˈ ɡ u s t ɨ̃ n
augustyna,ˌ a w ɡ u ˈ s t ɨ̃ n a
augustów,a w ˈ ɡ u s t u f
aura,ˈ a w r a
aurelia,a w ˈ r ɛ lʲ j a
aureliusz,a w ˈ r ɛ lʲ j u ʃ
aurora,a w ˈ r ɔ r a
auster,ˈ a w s t ɛ r
australia,a w ˈ s t r a lʲ j a
australijczyk,ˌ a w s t r a ˈ lʲ i j t ʃ̑ ɨ k
australijka,ˌ a w s t r a ˈ lʲ i j k a
austria,ˈ a w s t rʲ j a
austriaczka,a w s t rʲ ˈ j a t ʃ̑ k a
austriak,ˈ a w s t rʲ j a k
austro-węgry,ˌ a w s t r ɔ ˈ v ɛ̃ ŋ ɡ r ɨ
avarua,ˌ a v a ˈ r u s u p w s u p a
awinion,a ˈ vʲ ĩ ɲ ɔ̃ n
azerbejdżan,ˌ a z ɛ r ˈ b ɛ j d ʒ̑ ã n
azerbejdżanin,ˌ a z ɛ r b ɛ j ˈ d ʒ̑ ã ɲ ĩ n
azerbejdżanka,ˌ a z ɛ r b ɛ j ˈ d ʒ̑ ã ŋ k a
azja,ˈ a zʲ j a
azjata,a ˈ zʲ j a t a
azjatka,a ˈ zʲ j a t k a
azor,ˈ a z ɔ r
azory,a ˈ z ɔ r ɨ
azow,ˈ a z ɔ f
ałtaj,ˈ a w t a j
b,b ɛ
bbwr,ˌ b ɛ b ɛ v u ˈ ɛ r
bhp,b ɛ x a ˈ p ɛ
bios,bʲ j ɔ s
bj,b ɛ ˈ j ɔ t
bjrm,ˌ b ɛ j ɔ t ɛ r ˈ ɛ̃ m
bmw,b ɛ ɛ̃ m ˈ v u
bok,b ɔ k
bor,b ɔ r
bt,ˈ bʲ i b lʲ j a ˌ t ɨ ɕ ɔ̃ n t s̑ ˈ l ɛ ʨ̑ a
bte,b ɛ t ɛ ˈː
bwa,b ɛ v u ˈ a
ba,ˈ c ɕ ɛ̃ ŋ ɡ a b a ˈ r u x a
ba,b ɛ ˈ a
babilon,b a ˈ bʲ i l ɔ̃ n
babilonia,ˌ b a bʲ i ˈ l ɔ̃ ɲ j a
babimost,b a ˈ bʲ ĩ m ɔ s t
baborów,b a ˈ b ɔ r u f
bachus,ˈ b a x u s
badenia-wirtembergia,ˌ b a d ɛ̃ ɲ a vʲ i r t ɛ̃ m ˈ b ɛ rʲ ɟ j a
bagdad,ˈ b a ɡ d a t
bagno,ˈ b a ɡ n ɔ
bahamczyk,b a ˈ x ã m t ʃ̑ ɨ k
bahamka,b a ˈ x ã m k a
bahamy,b a ˈ x ã m ɨ
bahrajn,ˈ b a x r a j n
bahrajnka,b a x ˈ r a j n k a
bahrajńczyk,b a x ˈ r a j j̃ n͇ t ʃ̑ ɨ k
bahranka,b a x ˈ r ã ŋ k a
bahrańczyk,b a x ˈ r ã j̃ n͇ t ʃ̑ ɨ k
bairiki,ˌ b a s u p j s u p i ˈ rʲ i c i
bajkał,ˈ b a j k a w
baku,ˈ b a k u
balaton,b a ˈ l a t ɔ̃ n
balbina,b a l ˈ bʲ ĩ n a
baldwin,ˈ b a l d vʲ ĩ n
balladyna,ˌ b a lː a ˈ d ɨ̃ n a
baltazar,b a l ˈ t a z a r
bamako,b ã ˈ m a k ɔ
bandżul,ˈ b ã n͇ d ʒ̑ u l
bangi,ˈ b ã ŋʲ ɟ i
bangkok,ˈ b ã ŋ kː ɔ k
bangladesz,b ã ŋ ɡ ˈ l a d ɛ ʃ
barabasz,b a ˈ r a b a ʃ
baran,ˈ b a r ã n
barbados,b a r ˈ b a d ɔ s
barbara,b a r ˈ b a r a
barbórka,b a r ˈ b u r k a
barcelona,ˌ b a r t s̑ ɛ ˈ l ɔ̃ n a
barcin,ˈ b a rʲ ʨ̑ ĩ n
barczewo,b a r ˈ t ʃ̑ ɛ v ɔ
bardo,ˈ b a r d ɔ
barlinek,b a r ˈ lʲ ĩ n ɛ k
barnaba,b a r ˈ n a b a
bartek,ˈ b a r t ɛ k
bartosz,ˈ b a r t ɔ ʃ
bartoszyce,ˌ b a r t ɔ ˈ ʃ ɨ t s̑ ɛ
bartłomiej,b a r t ˈ w ɔ̃ mʲ j ɛ̇ j
barwice,b a r ˈ vʲ i t s̑ ɛ
basia,ˈ b a ɕ a
bask,b a s k
baskijka,b a ˈ sʲ c i j k a
baskonia,b a ˈ s k ɔ̃ ɲ j a
batman,ˈ b a t m ã n
bawarczyk,b a ˈ v a r t ʃ̑ ɨ k
bawaria,b a ˈ v a rʲ j a
bawarka,b a ˈ v a r k a
bazylea,ˌ b a z ɨ ˈ l ɛ a
bazyli,b a ˈ z ɨ lʲ i
bałkany,b a w ˈ k ã n ɨ
bałt,b a w t
bałtyjka,b a w ˈ t ɨ j k a
bałtyk,ˈ b a w t ɨ k
bałtyka,b a w ˈ t ɨ k a
bałuty,b a ˈ w u t ɨ
beata,b ɛ ˈ a t a
beatrycze,ˌ b ɛ a ˈ t r ɨ t ʃ̑ ɛ
becherovka,ˌ b ɛ x ɛ ˈ r ɔ f k a
beduin,b ɛ ˈ d u s u p j s u p ĩ n
bejrut,ˈ b ɛ j r u t
beka,ˈ b ɛ k a
belfast,ˈ b ɛ l f a s t
belg,b ɛ l k
belgia,ˈ b ɛ lʲ ɟ j a
belgijka,b ɛ lʲ ˈ ɟ i j k a
belgrad,ˈ b ɛ l ɡ r a t
belize,b ɛ ˈ lʲ i z ɛ
belizenka,ˌ b ɛ lʲ i ˈ z ɛ̃ n k a
belizeńczyk,ˌ b ɛ lʲ i ˈ z ɛ̃ j̃ n͇ t ʃ̑ ɨ k
bellona,b ɛ l ˈː ɔ̃ n a
belmopan,b ɛ l ˈ m ɔ p ã n
benedykt,b ɛ̃ ˈ n ɛ d ɨ k t
benedykta,ˌ b ɛ̃ n ɛ ˈ d ɨ k t a
beniamin,b ɛ̃ ˈ ɲ ã mʲ ĩ n
benin,ˈ b ɛ̃ ɲ ĩ n
beninka,b ɛ̃ ˈ ɲ ĩ ŋ k a
benińczyk,b ɛ̃ ˈ ɲ ĩ j̃ n͇ t ʃ̑ ɨ k
benon,ˈ b ɛ̃ n ɔ̃ n
beocja,b ɛ ˈ ɔ t s̑ʲ j a
berber,ˈ b ɛ r b ɛ r
berberyjka,ˌ b ɛ r b ɛ ˈ r ɨ j k a
berdyczów,b ɛ r ˈ d ɨ t ʃ̑ u f
berenika,ˌ b ɛ r ɛ̃ ˈ ɲ i k a
bergamuty,ˌ b ɛ r ɡ ã ˈ m u t ɨ
berlin,ˈ b ɛ r lʲ ĩ n
bermudy,b ɛ r ˈ m u d ɨ
bernard,ˈ b ɛ r n a r t
bernardyn,b ɛ r ˈ n a r d ɨ̃ n
berno,ˈ b ɛ r n ɔ
berta,ˈ b ɛ r t a
bestwina,b ɛ ˈ s t fʲ ĩ n a
betlejem,b ɛ ˈ t l ɛ j ɛ̃ m
bełchatów,b ɛ w ˈ x a t u f
bełżyce,b ɛ w ˈ ʒ ɨ t s̑ ɛ
bhutan,ˈ b u t ã n
bhutanka,b u ˈ t ã ŋ k a
bhutańczyk,b u ˈ t ã j̃ n͇ t ʃ̑ ɨ k
bi-pi,ˈ bʲ i pʲ i
bianka,ˈ bʲ j ã ŋ k a
biała,ˈ bʲ j a w a
białobrzegi,ˌ bʲ j a w ɔ ˈ b ʒ ɛ ɟ i
białogard,bʲ j a ˈ w ɔ ɡ a r t
białogród,bʲ j a ˈ w ɔ ɡ r u t
białorusin,ˌ bʲ j a w ɔ ˈ r u ɕ ĩ n
białorusinka,ˌ bʲ j a w ɔ r u ˈ ɕ ĩ ŋ k a
białoruś,bʲ j a ˈ w ɔ r u ɕ
białostocczanin,ˌ bʲ j a w ɔ s t ɔ t s̑ ˈ t ʃ̑ ã ɲ ĩ n
białostocczanka,ˌ bʲ j a w ɔ s t ɔ t s̑ ˈ t ʃ̑ ã n k a
białostocczyzna,ˌ bʲ j a w ɔ s t ɔ t s̑ ˈ t ʃ̑ ɨ z n a
biały,ˈ bʲ j a w ɨ
białystok,bʲ j a ˈ w ɨ s t ɔ k
bibiana,bʲ i ˈ bʲ j ã n a
biblia,ˈ bʲ i b lʲ j a
biecz,bʲ j ɛ t ʃ̑
bielawa,bʲ j ɛ ˈ l a v a
bielsko,ˈ bʲ j ɛ l s k ɔ
bielsko-biała,ˌ bʲ j ɛ l s k ɔ ˈ bʲ j a w a
biernat,ˈ bʲ j ɛ r n a t
bierutów,bʲ j ɛ ˈ r u t u f
bieruń,ˈ bʲ j ɛ r ũ ɲ
bieszczady,bʲ j ɛ ʃ ˈ t ʃ̑ a d ɨ
bieżuń,ˈ bʲ j ɛ ʒ ũ ɲ
bihać,ˈ bʲ i x a ʨ̑
bikini,bʲ i ˈ c ĩ ɲ i
birma,ˈ bʲ i r m a
birmanka,bʲ i r ˈ m ã ŋ k a
birmańczyk,bʲ i r ˈ m ã j̃ n͇ t ʃ̑ ɨ k
biskupiec,bʲ i s ˈ k u pʲ j ɛ t s̑
biskupin,bʲ i s ˈ k u pʲ ĩ n
bissau,ˈ bʲ i sː a w
biszkek,ˈ bʲ i ʃ k ɛ k
bisztynek,bʲ i ˈ ʃ t ɨ̃ n ɛ k
bizancjum,bʲ i ˈ z ã n t s̑ʲ j ũ m
biłgoraj,bʲ i w ˈ ɡ ɔ r a j
blachownia,b l a ˈ x ɔ vʲ ɲ a
blanka,ˈ b l ã n k a
bliźniak,ˈ b lʲ i ʑ ɲ a k
bliźnięta,b lʲ i ʑ ˈ ɲ ɛ̃ n t a
bobolice,ˌ b ɔ b ɔ ˈ lʲ i t s̑ ɛ
bobowa,b ɔ ˈ b ɔ v a
bochnia,ˈ b ɔ ç ɲ a
bochotnica,ˌ b ɔ x ɔ tʲ ˈ ɲ i t s̑ a
bodzentyn,b ɔ ˈ d z̑ ɛ̃ n t ɨ̃ n
bogatynia,ˌ b ɔ ɡ a ˈ t ɨ̃ ɲ a
bogdan,ˈ b ɔ ɡ d ã n
bogna,ˈ b ɔ ɡ n a
bogota,b ɔ ˈ ɡ ɔ t a
boguchwała,ˌ b ɔ ɡ u x ˈ f a w a
bogumił,b ɔ ˈ ɡ ũ mʲ i w
bogumiła,ˌ b ɔ ɡ ũ ˈ mʲ i w a
boguszów-gorce,ˌ b ɔ ɡ u ʃ u v ˈ ɡ ɔ r t s̑ ɛ
bogusław,b ɔ ˈ ɡ u s w a f
bogusława,ˌ b ɔ ɡ u ˈ s w a v a
bohemia,b ɔ ˈ x ɛ̃ mʲ j a
bojanowo,ˌ b ɔ j ã ˈ n ɔ v ɔ
bolek,ˈ b ɔ l ɛ k
bolesław,b ɔ ˈ l ɛ s w a f
bolesława,ˌ b ɔ l ɛ ˈ s w a v a
bolesławiec,ˌ b ɔ l ɛ ˈ s w a vʲ j ɛ t s̑
boliwia,b ɔ ˈ lʲ i vʲ j a
boliwijczyk,ˌ b ɔ lʲ i ˈ vʲ i j t ʃ̑ ɨ k
boliwijka,ˌ b ɔ lʲ i ˈ vʲ i j k a
bolków,ˈ b ɔ l k u f
bolonia,b ɔ ˈ l ɔ̃ ɲ j a
bombaj,ˈ b ɔ̃ m b a j
bona,ˈ b ɔ̃ n a
bonawentura,ˌ b ɔ̃ n a v ɛ̃ n ˈ t u r a
bonifacy,ˌ b ɔ̃ ɲ i ˈ f a t s̑ ɨ
boreasz,b ɔ ˈ r ɛ a ʃ
