case,kʰ e i ˥   s iː ˧ ˥
cash,kʰ ɛː ˥   s yː ˨ ˩
cert,s ɵ t ˥
cheap,t sʰ iː p ˥
cheap嘢,t sʰ iː p ˥   j ɛː ˩ ˧
cheap精,t sʰ iː p ˥   t s ɪ ŋ ˥
check,t sʰ ɛː k ˥
check吓,t sʰ ɛː k ˥   h aː ˩ ˧
chem,kʰ ɛː m ˥
cib,s iː ˥   ɐ i ˥   p iː ˥
claim,kʰ ɛː m ˥
claim保險,kʰ ɛː m ˥   p o u ˧ ˥   h iː m ˧ ˥
claim番,kʰ ɛː m ˥   f aː n ˥
claim稅,kʰ ɛː m ˥   s ɵ y ˧
claim翻,kʰ ɛː m ˥   f aː n ˥
claim返,kʰ ɛː m ˥   f aː n ˥
click,kʰ ɪ k ˥
click入去,kʰ ɪ k ˥   j ɐ p ˨   h ɵ y ˧
compute,kʰ ɐ m ˨   pʰ iː u ˥
con,kʰ ɔː n ˥
cool,kʰ uː ˥
cute,kʰ iː u ˥
cut,kʰ ɐ t ˥
detail,t iː ˥   tʰ ɛː u ˨ ˩
econ,j iː ˨   kʰ ɔː n ˥
encore,ɛː n ˥   kʰ ɔː ˥
𡃀,"ɛː ˨ ˩, ŋ ɛː ˨ ˩"
eng lit,j ɪ ŋ ˥   l iː t ˥
㖡,"ɛː ˨, t s ɛː ˨"
e仔,j iː ˥   t s ɐ i ˧ ˥
㳸,f aː ˥
facial,f e i ˥   s o u ˨ ˩
𫂈,f aː i ˧
㙕,f aː i ˧
䠊,f aː i ˨ ˩
䆏,"f aː i ˧, f aː n ˩ ˧"
㺔,"f aː i ˥, h ɔː i ˨"
䘗,"f aː i ˥, k w aː n ˧ ˥, pʰ uː i ˧"
䀟,"f aː i ˧, m aː n ˩ ˧"
㻗,"f aː i ˧ ˥, pʰ uː i ˩ ˧"
㕒,"f aː i ˥, w aː i ˨ ˩, w aː i ˨"
𧶶,f aː n ˧
𠆩,f aː n ˧ ˥
㕨,f aː n ˨
㠶,f aː n ˨ ˩
㷊,"f aː n ˨ ˩, f aː n ˩ ˧"
㿎,"f aː n ˨ ˩, f aː n ˩ ˧, k ɐ k ˧"
䚩,"f aː n ˨ ˩, h iː u ˥, kʰ iː u ˨ ˩, t s iː u ˨ ˩"
䴊,"f aː n ˧, k ɔː n ˥, t s iː ˨ ˩, t s iː ˩ ˧"
fans,f ɛː n ˥   s iː ˧ ˥
䗼,"f aː n ˥, w aː t ˥"
𠵽,f aː t ˧
㚕,f aː t ˥
䩐,"f aː t ˥, k aː p ˥"
䪀,"f aː t ˥, k uː n ˧ ˥, w uː n ˧ ˥, t s yː n ˧ ˥"
䘠,"f aː t ˥, kʰ uː t ˧"
㪂,"f aː t ˥, k w aː t ˨"
䞞,"f aː t ˥, m aː n ˩ ˧"
䊖,"f aː t ˥, n ɐ m ˩ ˧"
㩛,"f aː ˥, tʰ yː n ˨ ˩"
㰴,f aː u ˧ ˥
䍖,"f aː u ˨ ˩, f uː ˥"
䳝,"f aː u ˧ ˥, f uː ˧ ˥"
䳕,"f aː u ˨ ˩, f uː ˥, m ɐ n ˩ ˧, w uː i ˨"
㕻,"f aː u ˧ ˥, f uː ˧, tʰ aː u ˧"
䯠,"f aː u ˧ ˥, o u ˧ ˥, pʰ e i ˧, t s ʊ k ˥"
䘀,"f aː u ˨, w aː i ˧"
fax,f ɛː t ˥   s iː ˧ ˥
feel,f iː u ˥
fee士,f iː ˥   s iː ˧ ˥
㹃,"f ɛː ˧, f e i ˧ ˥, h ɛː ˧"
㫵,f e i ˥
㥱,f e i ˧ ˥
fell,f iː u ˥
㔞,f ɐ i ˧
㟴,"f ɐ i ˧, f ɐ n ˨ ˩, f ɐ n ˨"
䘦,"f ɐ i ˧, n e i ˨ ˩, t s yː ˨ ˩"
fing,f ɪ ŋ ˨
fing頭,f ɪ ŋ ˨   tʰ ɐ u ˨ ˩
fing頭丸,f ɪ ŋ ˨   tʰ ɐ u ˨ ˩   j yː n ˧ ˥
㝕,"f ɐ i ˧, n ɪ ŋ ˨ ˩"
𢝵,f iː t ˥
fit,f iː t ˥
㙏,f ʊ k ˥
㚆,"f ʊ k ˨, f ʊ k ˨"
𠱥,"f ɪ k ˥, j iː t ˨, w ɛː ˩ ˧"
㨇,"f ʊ k ˨, pʰ ɔː ˨ ˩, pʰ uː n ˨ ˩"
㬼,"f ʊ k ˨, w ɐ k ˨"
𤑕,f ɐ n ˥
㛰,f ɐ n ˥
㸮,f ɐ n ˨ ˩
㶗,"f ɐ n ˨ ˩, f ɐ n ˨"
䛀,"f ɐ n ˧ ˥, f ɐ n ˧ ˥"
䀀,"f ɐ n ˧, f ɐ n ˨ ˩, f ɐ n ˨"
䬚,"f ɐ n ˧, f ɐ n ˨ ˩, kʰ aː u ˥"
𢰶,f ɪ ŋ ˨
㐽,f ʊ ŋ ˥
㦀,f ʊ ŋ ˨ ˩
䏎,"f ʊ ŋ ˨ ˩, h ɔː n ˨"
㒥,"f ʊ ŋ ˥, k aː m ˧ ˥"
㠦,"f ʊ ŋ ˥, k aː m ˧, h aː t ˨"
㓩,"f ɐ n ˧, h iː n ˧ ˥, h yː n ˥"
㾜,"f ɐ n ˧ ˥, h iː p ˧, kʰ ɵ y ˥, kʰ œː k ˧"
㱪,"f ɐ n ˥, m uː n ˨"
䑺,"f ɐ n ˨ ˩, pʰ ɔː ˨ ˩, pʰ uː n ˨ ˩"
㾧,f ɔː ˧
㪙,f ɔː ˧ ˥
䈖,"f ɔː ˥, f ɔː ˧, tʰ iː u ˧"
㸌,f ɔː k ˧
㸯,"f ɔː ˥, k aː u ˥"
䡰,"f ɔː k ˧, k ʊ k ˥, h ʊ k ˨, kʰ ɵ y ˨ ˩"
䦆,"f ɔː k ˧, m ɔː ŋ ˨ ˩"
㚌,"f ɔː ˧ ˥, l ɔː ˧ ˥"
㠩,f ɔː ŋ ˥
㕫,f ɔː ŋ ˧ ˥
㤃,"f ɔː ŋ ˥, f ɔː ŋ ˨ ˩"
䲱,"f ɔː ŋ ˧ ˥, f ɔː ŋ ˨ ˩"
㱂,"f ɔː ŋ ˥, h ɔː ŋ ˥"
䄰,"f ɔː ŋ ˧ ˥, ŋ aː ˨ ˩"
㑂,"f ɔː ŋ ˧ ˥, pʰ ɔː ŋ ˨ ˩"
㤺,"f ɔː ŋ ˧ ˥, w ɔː k ˨"
䍫,"f ɔː ˥, tʰ ɔː ˨ ˩"
foul,f ɐ u ˥
foul出局,f ɐ u ˥   t sʰ ɵ t ˥   k ʊ k ˨
䆧,"f ɔː ˧ ˥, w ɔː ˥"
friend,f ɛː n ˥
friend過打band,f ɛː n ˥   k w ɔː ˧   t aː ˧ ˥   p ɛː n ˥
𦡆,f ɐ t ˥
㕹,f ɐ t ˨
㦟,"f ɐ t ˧, m ɐ i ˨ ˩"
𧌓,f ɐ u ˨
𫓧,f uː ˥
㓬,f uː ˥
㓡,f uː ˧ ˥
㲗,"f uː ˥, f uː ˧"
䋨,"f uː ˧ ˥, f uː ˧"
䗄,"f uː ˧ ˥, f uː ˨, k uː ˧ ˥"
䔰,"f uː ˥, f uː ˧, pʰ e i ˧"
䃿,"f uː ˥, h aː ˥"
𠧩,f uː i ˧
㞀,f uː i ˥
㑰,f uː i ˨ ˩
㬢,"f uː i ˥, h e i ˥"
䟩,"f uː i ˥, k ɵ y ˧, h ɐ i ˨, kʰ œː k ˧"
䵋,"f uː i ˧ ˥, kʰ uː i ˧ ˥"
䖯,"f uː i ˥, kʰ w aː i ˥"
䝇,"f uː i ˥, k w ɐ i ˧, kʰ uː t ˧"
䂕,"f uː i ˧, ŋ aː t ˨"
㚝,"f uː i ˥, tʰ ɵ y ˨ ˩, w aː i ˧ ˥"
㠸,"f uː ˧, k uː ˥"
䠵,"f uː ˨, kʰ w aː i ˥, w aː ˥"
㐻,"f uː ˥, m o u ˩ ˧, n ɔː i ˨"
㹕,f uː n ˥
㯘,f uː n ˧ ˥
䕀,"f uː n ˧ ˥, h aː t ˨"
㩲,"f uː n ˥, kʰ yː n ˨ ˩"
䢵,"f uː n ˧ ˥, w aː n ˨ ˩, w aː t ˨"
㖹,"f uː ˧ ˥, pʰ aː n ˧, pʰ uː n ˨ ˩"
䯽,"f uː ˥, pʰ aː u ˨ ˩"
䦢,f uː t ˧
䱐,"f uː ˥, tʰ o u ˥"
䭍,"f uː ˨ ˩, w uː ˨ ˩"
gag,k ɛː k ˥
geogra,t s ɔː k ˥   k aː ˧ ˥
𡄟,h aː ˥
䪗,h aː ˨ ˩
hae,h ɛː ˧
hae吓,h ɛː ˧   h aː ˩ ˧
㰺,"h aː ˨ ˩, h aː ˨, kʰ w aː i ˨ ˩"
𩋘,h aː i ˨ ˩
㒠,h aː i ˨
㜾,h aː i ˨ ˩
㜎,"h aː i ˨ ˩, h aː i ˨"
䂉,"h aː i ˨, h aː u ˨ ˩"
㑶,"h aː i ˨ ˩, h e i ˧"
䫣,"h aː i ˨ ˩, kʰ aː i ˧, kʰ iː t ˧"
㦑,h aː m ˥
㖤,h aː m ˨ ˩
䦦,"h aː m ˧ ˥, h aː m ˨ ˩, kʰ aː m ˨ ˩, s ɪ k ˥"
䡩,"h aː m ˥, h aː ŋ ˥"
㖃,"h aː m ˥, h aː u ˧, h aː u ˨"
䭠,"h aː m ˧ ˥, h iː m ˧"
㼨,"h aː m ˨, h ɐ m ˨ ˩"
䚉,"h aː m ˥, kʰ aː i ˧"
㘛,"h aː m ˥, l iː m ˩ ˧"
㨔,"h aː m ˨, ŋ aː n ˨ ˩"
䫲,"h aː m ˧ ˥, t s iː m ˧ ˥"
䎦,"h aː m ˧ ˥, t s iː m ˧ ˥, t s iː m ˩ ˧"
㡾,h aː n ˨
㯗,h aː n ˨ ˩
㓑,h aː ŋ ˨
㣜,h aː ŋ ˨ ˩
㦿,"h aː ŋ ˨, h iː m ˥, w uː ˨"
㘡,h aː p ˨
䕣,"h aː p ˨, h ɔː t ˧"
㰭,"h aː p ˨, h ɵ y ˥"
㡊,"h aː p ˥, h ɐ p ˨"
䐦,"h aː p ˨, h ɐ u ˧ ˥, h ɔː t ˧, l iː m ˩ ˧"
㽠,"h aː p ˥, kʰ iː t ˧"
䱑,"h aː p ˨, s iː t ˧"
㮫,"h aː t ˨, h ɔː t ˧"
㵿,"h aː t ˨, h ɐ u ˨"
㡚,"h aː t ˨, ŋ aː u ˥"
㤊,h aː u ˨
㚽,h aː u ˧ ˥
䳎,"h aː u ˨, h iː n ˥, kʰ aː u ˧, kʰ aː u ˩ ˧"
𠾍,h ɛː ˧
𠺬,h ɛː ˧ ˥
hea,h ɛː ˧
hea吓,h ɛː ˧   h aː ˩ ˧
𠺪,"h ɛː ˧, h iː ˥"
𥋟,h e i ˥
㗭,h e i ˥
䄎,h e i ˧ ˥
㺧,"h e i ˧, h iː u ˥, h ɔː ˧ ˥"
䁈,"h e i ˧ ˥, kʰ aː i ˧"
䳢,"h e i ˥, kʰ e i ˨ ˩"
㝃,"h e i ˥, m iː n ˩ ˧"
㩘,"h e i ˥, ŋ aː i ˩ ˧"
㩬,"h e i ˥, ŋ aː t ˨"
㶧,"h e i ˥, n yː n ˨"
㺣,"h e i ˥, s ɪ k ˥"
㱇,"h e i ˥, s ɐ m ˥, s ɪ k ˥, t s iː p ˧"
䫑,"h e i ˥, t s iː ˥"
㰻,"h e i ˥, t s iː ˩ ˧"
䎲,"h e i ˧ ˥, t s iː p ˧"
䂆,h ɛː k ˧
㗾,h ɛː u ˥
𡚦,h ɐ i ˥
㖑,h ɐ i ˨
high,h aː i ˥
㞓,"h ɐ i ˥, h e i ˧"
㰧,"h ɐ i ˨, h ɔː i ˥"
㩻,"h ɐ i ˧ ˥, kʰ e i ˥"
㪠,h iː m ˧
䈴,"h iː m ˧, h iː p ˧"
㕃,"h iː m ˧, kʰ aː i ˥, l iː m ˨ ˩, t s ɐ p ˧"
㰸,"h iː m ˧, l ɛː ŋ ˩ ˧, l iː m ˩ ˧"
㢘,"h iː m ˧, l iː m ˨ ˩"
䫡,"h iː m ˧, ŋ ɐ m ˨ ˩"
㗔,h iː n ˥
㫫,h iː n ˧ ˥
䲒,"h ɐ i ˩ ˧, ŋ ɐ i ˨ ˩"
䯐,"h ɐ i ˨ ˩, ŋ ɔː i ˨ ˩"
䘆,"h iː n ˧ ˥, h yː n ˧ ˥"
䛈,"h iː n ˥, s aː i ˨"
㰽,"h iː n ˧ ˥, t s iː n ˥, t s iː n ˧ ˥"
䊙,"h iː n ˧ ˥, t s iː n ˨ ˩, t s iː n ˨"
䯈,"h iː n ˧ ˥, t s yː n ˨ ˩"
㙝,h iː p ˧
䟐,"h iː p ˧, l ɪ k ˨"
㢵,"h iː p ˧, s iː p ˧"
䁋,"h iː p ˧, s iː p ˧, s iː t ˧"
㕺,h iː u ˥
䥵,h iː u ˧ ˥
㢗,"h iː u ˥, h o u ˨ ˩"
䤿,"h iː u ˧, kʰ iː t ˧"
䃝,"h iː u ˧, kʰ iː u ˧"
㠉,"h iː u ˥, tʰ ʊ ŋ ˨ ˩"
㦦,h ɐ k ˥
㮣,"h ʊ k ˥, kʰ œː k ˧, kʰ ɔː i ˧"
㴶,"h ʊ k ˨, kʰ ɔː k ˧"
㿥,"h ʊ k ˨, l ɔː k ˨"
㕰,"h ʊ k ˨, m aː ˧"
㵺,"h ɐ k ˥, pʰ ɐ i ˨ ˩"
𥔿,h ɐ m ˧ ˥
㘎,h ɐ m ˧
㙳,h ɐ m ˧ ˥
㔋,"h ɐ m ˧, h ɐ m ˩ ˧, l ɐ m ˨"
䕿,"h ɐ m ˧, h ɔː n ˧, s œː ŋ ˧ ˥"
㘕,"h ɐ m ˧, l ɐ m ˨ ˩"
㺝,"h ɐ m ˩ ˧, l ɐ m ˨"
㯊,h ɐ n ˨ ˩
𢙢,h ʊ ŋ ˧ ˥
㷫,h ɪ ŋ ˧
㔰,h ɐ ŋ ˨ ˩
䆪,"h ʊ ŋ ˥, h ʊ ŋ ˧"
䂫,"h ɐ ŋ ˥, h ʊ ŋ ˨ ˩"
㒷,"h ɪ ŋ ˧ ˥, h ɪ ŋ ˧"
㷫,"h ɪ ŋ ˧, kʰ aː i ˧ ˥"
㓙,"h ʊ ŋ ˥, kʰ ʊ ŋ ˨ ˩"
㕡,"h ɐ ŋ ˥, kʰ ɔː k ˧"
㒑,"h ʊ ŋ ˧ ˥, kʰ uː i ˧ ˥, w ɐ k ˨"
䫹,"h ʊ ŋ ˨ ˩, kʰ yː n ˨ ˩"
䆭,"h ɐ n ˨, h iː n ˥"
䦥,"h ɐ n ˨ ˩, kʰ aː ˥, kʰ aː ˧ ˥, kʰ ɔː k ˧"
㪃,h ɔː ˥
㞹,h ɔː ˧ ˥
㿝,h œː ŋ ˥
䊑,h œː ŋ ˧ ˥
㗽,"h œː ŋ ˥, h œː ŋ ˧ ˥"
𠀅,h ɔː i ˨
㚊,h ɔː i ˥
䁗,h ɔː i ˧ ˥
䇋,"h ɔː i ˨, w aː i ˨"
𤌍,h ɔː k ˧
㙾,h ɔː k ˨
䘔,"h ɔː ˧ ˥, kʰ aː ˥"
㿱,"h ɔː k ˨, h ɔː n ˧"
㒈,h ɔː n ˨
㙔,h ɔː n ˨ ˩
𠵉,h ɔː ŋ ˨ ˩
㑌,h ɔː ŋ ˥
䉺,h ɔː ŋ ˧ ˥
𣚺,"h ɔː ŋ ˧ ˥, h ɔː ŋ ˨"
㤚,"h ɔː ŋ ˧ ˥, h ɔː ŋ ˨ ˩"
㟟,"h ɔː ŋ ˧ ˥, h ɔː ŋ ˨, h ɔː t ˧"
䆲,"h ɔː ŋ ˥, kʰ w aː ŋ ˥"
䣈,"h ɔː ŋ ˨, l ʊ ŋ ˨"
䗧,"h ɔː ŋ ˥, w ɔː ŋ ˥"
𫘣,"h ɔː n ˩ ˧, h ɔː n ˨"
㸁,"h ɔː n ˧ ˥, h ɔː n ˧"
䏷,"h ɔː n ˨, h ɔː ŋ ˧ ˥"
䎯,"h ɔː n ˧ ˥, h ɔː n ˧, t s iː n ˩ ˧"
䳚,"h ɔː n ˧ ˥, h ɔː t ˧"
䁔,"h ɔː n ˨, h yː n ˥, w uː n ˨"
䠭,"h ɔː n ˩ ˧, l ɐ i ˨, l ɐ n ˩ ˧, m aː n ˨ ˩"
㟧,"h ɔː n ˨, ŋ ɔː k ˨, t s iː m ˨ ˩"
㵄,"h ɔː n ˧, w ɪ k ˨"
㱒,"h ɔː ˥, s œː ŋ ˩ ˧"
𦤦,h ɔː t ˧
㓭,h ɔː t ˧
㷎,"h ɔː t ˧, kʰ iː t ˧"
㵣,"h ɔː t ˧, s ɐ p ˧, s ɐ p ˧"
䄬,"h ɔː ˥, t s yː ˨ ˩, t s yː ˨ ˩"
𧐢,h o u ˨ ˩
㙱,h o u ˨
㠙,h o u ˨ ˩
㘪,"h o u ˧, kʰ aː u ˧"
㗾,h ɵ y ˥
㞰,h ɵ y ˧ ˥
㥦,"h ɵ y ˧, h iː p ˧, tʰ iː u ˨ ˩"
䅨,"h ɵ y ˧ ˥, h œː ŋ ˥"
䊸,"h ɵ y ˥, t s yː ˥"
㛍,h ɐ p ˨
㤲,"h ɐ p ˨, h iː p ˧"
㰰,"h ɐ p ˨, h ɔː t ˧"
㰼,"h ɐ p ˨, h ɐ u ˧, l iː u ˨ ˩, l iː u ˨, s ɐ p ˧"
䁯,"h ɐ p ˥, kʰ aː p ˥"
㔠,h ɐ t ˨
𥅠,h ɐ u ˥
䞀,h ɐ u ˨
㗋,h ɐ u ˨ ˩
㹲,"h ɐ u ˥, h ɐ u ˧"
㪣,"h ɐ u ˥, kʰ iː u ˧"
䯨,"h ɐ u ˥, kʰ ɔː k ˧"
㫴,"h ɐ u ˥, ŋ ɐ u ˨ ˩"
㺅,"h ɐ u ˨ ˩, ŋ ɐ u ˨ ˩"
䠮,"h ɐ u ˧ ˥, tʰ aː ŋ ˨ ˩"
㡑,"h ɐ u ˥, t s iː u ˧ ˥"
㒽,h yː n ˥
䳦,"h yː n ˥, kʰ w aː n ˧ ˥"
㬉,"h yː n ˥, n yː n ˩ ˧"
㞽,h yː t ˧
䟒,"h yː t ˧, kʰ yː n ˨ ˩"
䳳,"h yː t ˧, s ɵ t ˥"
䅬,ɐ i ˧
ip,ɐ i ˥   pʰ iː ˥
jacket,t s ɛː k ˥   kʰ ɛː k ˨
𨅝,j aː ŋ ˧
𣚕,j aː p ˧
𠰋,j aː u ˥
㭨,j ɛː ˨ ˩
𠲖,j iː ˥
𫍙,j iː ˨ ˩
㞔,j iː ˨ ˩
𠯋,"j ɐ i ˨ ˩, j ɐ i ˩ ˧"
𥀬,j iː m ˧ ˥
㤿,j iː m ˥
𦝡,"j iː m ˥, j iː m ˧ ˥"
䀋,"j iː m ˨ ˩, n ɐ m ˨ ˩, t s iː m ˨ ˩"
𪾢,j iː n ˩ ˧
𤍠,j iː t ˨
𨍳,j iː u ˨ ˩
𡄯,j ɪ k ˥
益,j ɪ k ˥
𩬎,j ɐ m ˥
𣏴,j ɐ n ˨ ˩
𠆌,j ʊ ŋ ˨ ˩
㐯,j ʊ ŋ ˨ ˩
𠀉,j ɐ u ˥
𤍕,j ɐ u ˨ ˩
㐀,j ɐ u ˥
𩦢,j yː ˨ ˩
𫐄,j yː t ˨
䮑,j yː t ˧
𡃉,k aː ˧
𠿪,k aː ˧ ˥
㰤,kʰ aː ˧
㗎,k aː ˧
䑝,k aː ˧ ˥
㗇,"k aː ˩ ˧, h aː ˨ ˩"
䉯,"k aː ˧, h aː ŋ ˥, t s iː m ˧, t s iː n ˨"
𠝹,k aː i ˧
㓞,kʰ aː i ˧
㑘,k aː i ˧
㿽,"k aː i ˥, h aː i ˨ ˩"
𢬿,"kʰ aː i ˧ ˥, kʰ aː i ˩ ˧"
㼇,"kʰ aː i ˧, kʰ ɪ ŋ ˨ ˩"
𠺝,k aː k ˧
㗆,k aː k ˧
𠺢,"k aː ˥, k aː ˧ ˥"
㗎,"k aː ˧ ˥, k aː ˧, k aː ˨ ˩"
㹢,"k aː ˥, k ɔː ˥"
㤉,"kʰ aː ˧, kʰ ɔː k ˧, ŋ aː ˨ ˩"
䘳,kʰ aː m ˥
㰹,kʰ aː m ˩ ˧
㨷,k aː m ˧
㺂,"k aː m ˧ ˥, h iː m ˥, ŋ ɐ m ˨ ˩"
㤌,"k aː m ˥, k aː m ˧"
㦗,"k aː m ˥, k aː m ˧, kʰ aː m ˨ ˩, n aː p ˥"
䋮,"k aː m ˥, kʰ iː m ˨ ˩"
䈜,"kʰ aː m ˨ ˩, kʰ iː m ˨ ˩, s aː m ˧, t s aː m ˥"
䫴,"k aː m ˧, k ɪ ŋ ˨"
㔶,"k aː m ˧ ˥, k ʊ ŋ ˧, t s iː ˥"
㩜,"k aː m ˧, l aː m ˩ ˧"
䆿,"k aː m ˧, ŋ aː i ˨"
𢵧,k aː n ˧
㧆,k aː n ˥
㶕,k aː n ˧ ˥
𨁈,k aː ŋ ˧
䎴,k aː ŋ ˥
䱴,"k aː ŋ ˧ ˥, k aː ŋ ˧"
㪅,"k aː ŋ ˥, s ɪ ŋ ˧"
㹏,"k aː n ˧ ˥, h ɔː ŋ ˨ ˩"
㵎,"k aː n ˧ ˥, k aː n ˧"
㢙,"k aː n ˧ ˥, kʰ aː n ˨ ˩, s aː p ˥"
䰙,"k aː n ˥, k ɐ m ˧, k e i ˨, ŋ aː i ˩ ˧"
㮗,"kʰ aː n ˨ ˩, s iː p ˧"
䯊,"kʰ aː ˧, ɔː ˥"
㪧,kʰ aː p ˥
㕅,k aː p ˧
㝓,"k aː p ˧, h ɐ u ˥, kʰ aː p ˨"
㡮,"k aː p ˨, kʰ aː p ˨"
㡴,"kʰ aː p ˥, l ɐ i ˥"
䍵,"kʰ aː p ˥, t s aː ŋ ˥"
㴔,"kʰ aː p ˥, t s aː p ˥"
䢀,k aː t ˥
䒗,"k aː t ˥, h e i ˧"
㔕,"k aː t ˥, kʰ aː u ˥"
㰯,kʰ aː u ˧
㐤,kʰ aː u ˨ ˩
㜌,k aː u ˧
㩭,k aː u ˧ ˥
䬨,"k aː u ˧, h aː u ˧"
㚣,"k aː u ˧ ˥, h aː u ˨ ˩"
䳹,"kʰ aː u ˧, kʰ aː u ˩ ˧"
㡱,"k aː u ˧, kʰ aː u ˧"
㤹,"k aː u ˧, kʰ aː u ˨ ˩"
䃓,"k aː u ˧, kʰ aː u ˨ ˩, ŋ aː u ˥"
䘨,"k aː u ˥, k ɐ u ˧ ˥"
㶯,"k aː u ˧, l aː u ˨"
䉚,"kʰ aː u ˧, m aː ŋ ˨ ˩, m ɔː ŋ ˨ ˩, ŋ aː ˩ ˧"
㗕,"k aː u ˧, ŋ aː u ˥"
䛮,"k aː u ˧, s aː t ˥"
䐰,"k aː u ˥, s aː u ˥"
㓂,"kʰ aː u ˧, tʰ aː u ˧"
㝅,"k aː u ˧, t s yː ˩ ˧"
𡲢,kʰ ɛː ˥
𠸏,k ɛː ˧ ˥
keep,kʰ iː p ˥
𨀣,kʰ e i ˧ ˥
𧝞,k e i ˥
𡜱,k e i ˧ ˥
㞿,kʰ e i ˨ ˩
㙨,k e i ˥
㞛,k e i ˧ ˥
㒫,"k e i ˧, h e i ˧ ˥"
㼄,"k e i ˥, h e i ˧, kʰ aː u ˩ ˧, t s iː n ˩ ˧"
䍍,"k e i ˧ ˥, h ʊ k ˥, kʰ aː u ˧"
㱦,"k e i ˥, kʰ e i ˥"
䡋,"k e i ˥, kʰ e i ˨ ˩, t s ɪ k ˥"
𠼻,"k e i ˥, k iː ˥, kʰ iː ˥"
㨿,"k e i ˥, k œː ŋ ˧"
㔳,"k e i ˧ ˥, k w aː i ˧ ˥"
䱈,"kʰ e i ˨ ˩, ŋ aː i ˨"
㫅,"kʰ e i ˨ ˩, s iː ˨ ˩"
䵭,"kʰ e i ˨ ˩, s yː ˥, t s ɛː ˧"
㺭,"k e i ˧ ˥, t s iː ˧ ˥"
䑴,"kʰ e i ˨ ˩, t s iː n ˥"
㼢,"k e i ˥, t s iː ˥, t s iː ˨ ˩"
㘌,kʰ ɛː k ˨
𢲈,"kʰ ɛː k ˥, kʰ ɪ k ˥"
𢠃,k ɛː ŋ ˨
𠵇,kʰ ɛː u ˨ ˩
𦧲,k ɛː u ˥
𢤹,k ɛː u ˨ ˩
