headword,pronunciation
aruzlar,a ɾ u z ˈ l a ɾ
ashap,a s ˈ h a p
ashap,a s h a p ˈ l a ɾ
askerler,a s k e ɾ ˈ ɫ e ɾ
asteroit,a s t e ɾ o ˈ i t
asteroit,a s t e ɾ o i t ˈ l e ɾ
astrolog,a s t ɾ o ˈ l o g
astrolog,a s t ɾ o l o g ˈ l a ɾ
astsubaylar,a s t s u b a j ˈ l a ɾ
ata,a t a ˈ l a ɾ
ata,a ˈ t a
atasözü,a ˈ t a s ø z l e ˈ ɾ i
atasözü,a ˈ t a s ø ˈ z y
ayva,a j ˈ v a
ayva,a j v a ˈ ɫ a ɾ
ayyuk,a j ˈ j u k
ayyuk,a j j u k ˈ l a ɾ
ayça,a j ˈ t͡ ʃ a
ayça,a j t͡ ʃ a ˈ l a ɾ
açelya,a ˈ t͡ ʃ e l j a ˈ l a ɾ
açelya,a ˈ t͡ ʃ e l j a
açıklaşma,a t͡ ʃ ɯ c l a ʃ ˈ m a
açıklaşma,a t͡ ʃ ɯ c l a ʃ m a ˈ l a ɾ
açıklaşmama,a t͡ ʃ ɯ c l a ʃ ˈ m a m a ˈ l a ɾ
açıklaşmama,a t͡ ʃ ɯ c l a ʃ ˈ m a m a
açıklaştırma,a t͡ ʃ ɯ c l a ʃ t ɯ ɾ m a ˈ l a ɾ
açıklaştırma,a t͡ ʃ ɯ c l a ʃ t ɯ ɾ ˈ m a
açıklaştırmama,a t͡ ʃ ɯ c l a ʃ ˈ t ɯ ɾ m a m a
açıklaştırmama,a t͡ ʃ ɯ c l a ʃ ˈ t ɯ ɾ m a m a ˈ l a ɾ
bab,ˈ b a b
bab,b a b ˈ l a ɾ
baharlar,b a h a ɾ ˈ l a ɾ
bakla,b a k ˈ l a
baklalar,b a k l a ˈ l a ɾ
baklavalar,b a k l a v a ˈ l a ɾ
balık,b ɑ l ɯ k ˈ l a ɾ
balık,b ɑ ˈ l ɯ k
bankacılık,b a n c a d͡ ʒ ɯ ˈ l ɯ c
bankacılık,b a n c a d͡ ʒ ɯ l ɯ c ˈ l a ɾ
basar,b ɑ s ˈ m ɑ ɾ
bağ,b a ˈ l a ɾ
bağ,ˈ b a
başlama,b a ʃ l a m a ˈ l a ɾ
başlama,b a ʃ l a ˈ m a
başlık,b a ʃ ˈ l ɯ c
besmele,b e s m e ˈ l e
besmele,b e s m e l e ˈ l e ɾ
beyin,b e ˈ j i n
beyin,b e j i n ˈ l e ɾ
bildiri,b i l d i ˈ ɾ i
bildiri,b i l d i ɾ i ˈ l e ɾ
bilenle,b i ˈ l e n l e
bilenler,b i l e n ˈ l e ɾ
bileşik,b i l e ˈ ʃ i c
bileşik,b i l e ʃ i c ˈ l e ɾ
bileşim,b i l e ʃ i m ˈ l e ɾ
bileşim,b i l e ˈ ʃ i m
bilgi,b i l ˈ g i
bilgi,b i l g i ˈ l e ɾ
bilgisayar,b i l g i s a ˈ j a ɾ
bilgisayar,b i l g i s a j a ɾ ˈ l a ɾ
bilgiyle,b i l ˈ g i j l e
bilgiyse,b i l ˈ g i j s e
bilim,b i l i m ˈ l e ɾ
bilim,b i ˈ l i m
bilimle,b i ˈ l i m l e
bilimler,b i l i m ˈ l e ɾ
bilmeyenle,ˈ b i l m e y e n ˈ l e
birliktelik,b i ɾ l i c t e l i c ˈ l e ɾ
birliktelik,b i ɾ l i c t e ˈ l i c
birliktelikse,b i ɾ l i c t e ˈ l i c s e
bit,ˈ b i t
bitler,b i t ˈ ɫ e ɾ
bluz,ˈ b l u z
bluz,b l u z ˈ l a ɾ
bluza,b l u ˈ z a
bluzsuz,b l u z s u z ˈ l a ɾ
bluzsuz,b l u z ˈ s u z
bugün,b u g y n
bukalemun,b u k a ɫ e ˈ m u n
bunama,b u n a m a ˈ l a ɾ
bunama,b u n a ˈ m a
buzağılar,b u z a ɯ ˈ l a ɾ
can,ˈ d͡ ʒ a n
canlar,d͡ ʒ a n ˈ l a ɾ
car,ˈ d͡ ʒ a ɾ
car,d͡ ʒ a ɾ ˈ l a ɾ
cariyeler,d͡ ʒ a ɾ i j e ˈ l e ɾ
cemaziyelevvel,d͡ ʒ e m a ˈ z i y e l e v v e l ˈ l e ɾ
cemaziyelevvel,d͡ ʒ e m a ˈ z i y e l e v ˈ v e l
cepler,d͡ ʒ e p ˈ ɫ e ɾ
charco,ˈ ʈ ʃ a ɾ k o
ciklet,d ʒ i c ˈ l ɛ t
ciklet,l a n g t r
concon,d͡ ʒ o n ˈ d͡ ʒ o n
concon,d͡ ʒ o n d͡ ʒ o n ˈ l a ɾ
conconlar,d͡ ʒ o n d͡ ʒ o n ˈ l a ɾ
conconu,d͡ ʒ o n d͡ ʒ o ˈ n u
cuma,d͡ ʒ u m a ˈ l a ɾ
cuma,d͡ ʒ u ˈ m a
cumartesi,d͡ ʒ u ˈ m a ɾ t e s i ˈ l e ɾ
cumartesi,d͡ ʒ u ˈ m a ɾ t e s i
cumhuriyet,d ʒ ʊ m h uː ɾ ɪ ˈ j ɛ t
cumhuriyet,d ʒ ʊ m h uː ɾ ɪ j ɛ t ˈ l e ɾ
dana,d a n a ˈ l a ɾ
dana,d a ˈ n a
darbımesel,ˈ d a ɾ b ɯ m e s e l ˈ l e ɾ
darbımesel,ˈ d a ɾ b ɯ m e ˈ s e l
delil,d e ˈ l i l
delil,d e l i l ˈ l e ɾ
delilcik,d e l i l ˈ d͡ ʒ i c
delüzyon,d ɪ ˈ l uː ʒ ə n
demir,d e ˈ m i ɾ
demiri,d e m i ˈ ɾ i
demiri,d e m i ɾ i ˈ l e ɾ
ders,ˈ d e ɾ s
ders,d e ɾ s ˈ l e ɾ
derslik,d e ɾ s ˈ l i c
derslik,d e ɾ s l i c ˈ l e ɾ
destekleyici,d ɛ s t e k l e j i ˈ d ʒ i
destekleyici,l a n g t r
devlet,d e v ˈ l e t
devlet,d e v l e t ˈ l e ɾ
değişim,d e i ʃ i m ˈ l e ɾ
değişim,d e i ˈ ʃ i m
değişmez,d e i ʃ ˈ m e z
değişmez,d e i ʃ m e z ˈ l e ɾ
dilsiz,d i l s i z ˈ l e ɾ
dilsiz,d i l T ü r k ç e
dilsiz,d i l ˈ s i z
dilsizlik,d i l T ü r k ç e
dilsizlik,d i l s i z ˈ l i c
din,ˈ d i n
din,d i n ˈ l e ɾ
dinsizlik,t r
dinsizlik,d i n s i z ɫ i k
disleksi,d i s ɫ e k s i
dudak,d u ˈ d a c
dudak,d u d a c ˈ l a ɾ
dudaklar,d u d a c ˈ l a ɾ
dudaklılık,d u d a c l ɯ ˈ l ɯ c
dudaksızlık,d u d a c s ɯ z ˈ l ɯ c
durumla,d u ˈ ɾ u m l a
durumlar,d u ɾ u m ˈ l a ɾ
dörtnal,d ø ɾ t ˈ n a l
dörtnal,d ø ɾ t n a l ˈ l a ɾ
dörtnala,ˈ d ø ɾ t n a ˈ l a
dünya,d y n ˈ j a
dünya,d y n j a ˈ l a ɾ
düzeltmeler,d y z e ɫ t m e ˈ ɫ e ɾ
e-posta,ˈ e p o s t a
e-postalar,e p o s t a ˈ l a ɾ
egemenlikler,e g e m e n l i c ˈ l e ɾ
ejderha,ɛ ʒ d ə ɾ h ɑː
ejderha,l a n g t r
eklem,e c ˈ l e m
eklem,e c l e m ˈ l e ɾ
eklemler,e c l e m ˈ l e ɾ
ekvator,e c v a t o ɾ ˈ l a ɾ
ekvator,e c v a ˈ t o ɾ
elhamdülillah,e l ˈ h a m d y l i l l a h ˈ l a ɾ
elhamdülillah,e l ˈ h a m d y l i l l a h
emekler,e m e c ˈ l e ɾ
endüstriler,e n d y s t ɾ i ˈ l e ɾ
erdem,e ɾ d e m ˈ l e ɾ
erdem,e ɾ ˈ d e m
erkekler,e ɾ k e k ˈ ɫ e ɾ
eserler,e s e ɾ ˈ l e ɾ
etimoloji,e t i m o l o ʒ i ˈ l e ɾ
evin,e ˈ v i n
evirmece,e v i ɾ m e d͡ ʒ e ˈ l e ɾ
evirmeceler,e v i ɾ m e d͡ ʒ e ˈ l e ɾ
ezik,e z i c ˈ l e ɾ
ezik,e ˈ z i c
ezikler,e z i c ˈ l e ɾ
eşya,e ʃ ˈ j a
eşyalar,e ʃ j a ˈ l a ɾ
fani,f a n i
fark,ˈ f a ɾ c
fark,f a ɾ c ˈ l a ɾ
fatura,f a t u ˈ ɾ a
fatura,f a t u ɾ a ˈ l a ɾ
faturalar,f a t u ɾ a ˈ l a ɾ
fazilet,f a z i l e t ˈ l e ɾ
fazilet,f a z i ˈ l e t
felek,f e ˈ l e c
felek,f e l e c ˈ l e ɾ
felsefe,f e l s e ˈ f e
felsefe,f e l s e f e ˈ l e ɾ
felsefeci,f e l s e f e d͡ ʒ i ˈ l e ɾ
felsefeci,f e l s e f e ˈ d͡ ʒ i
fethullah,f e t h u l l a h ˈ l a ɾ
fethullah,f e t h u l ˈ l a h
finansman,f i n a n s m a n ˈ l a ɾ
finansman,f i n a n s ˈ m a n
frambuaz,l a n g t r
frambuaz,f ɾ ɑ m b ʊː ɑ ʐ
futbolcu,f u t b o ɫ d ʒ u
fâcir,f a ˈ d͡ ʒ i r
fâcire,f a d͡ ʒ i ˈ r e
fıskiye,f ɯ s c i ˈ j e
fıskiye,f ɯ s c i j e ˈ l e ɾ
fıskiyeli,f ɯ s c i j e ˈ l i
fıskiyeli,f ɯ s c i j e l i ˈ l e ɾ
fıskiyesiz,f ɯ s c i j e s i z ˈ l e ɾ
fıskiyesiz,f ɯ s c i j e ˈ s i z
galeri,g a l e ˈ ɾ i
gelgit,g e l ˈ g i t
gelgitler,g e l g i t ˈ l e ɾ
gelin,ˈ g e l i n
gelin,g e ˈ l i n
gelin,g e l i n ˈ l e ɾ
gelme,g e l ˈ m e
gelme,g e l m e ˈ l e ɾ
gemi,g e ˈ m i
gemi,g e m i ˈ l e ɾ
gerçekleşmeler,g e ɾ t͡ ʃ e k l e ʃ m e ˈ l e ɾ
gerçekleştirmeler,g e ɾ t͡ ʃ e k l e ʃ t i ɾ m e ˈ l e ɾ
gezegenle,g e z e ˈ g e n l e
gitme,g i t m e ˈ l e ɾ
gitme,ˈ g i t m e
gitme,g i t ˈ m e
grafiği,g ɾ a f i ˈ i
gri,ˈ g ɾ i
gri,g ɾ i ˈ l e ɾ
grup,ˈ g ɾ u p
grup,g ɾ u p ˈ l a ɾ
guval,ɡ ʊ v ɑ ɫ
gökkuşağı,ɟ œ c k u ʃ ʌ ɣ ɯ
göl,ˈ g ø l
göl,g ø l ˈ l e ɾ
göt,g ø t ˈ l e ɾ
göt,ˈ g ø t
gözeler,g ø z e ˈ l e ɾ
gözlük,g ø z l y c ˈ l e ɾ
gözlük,g ø z ˈ l y c
güdüm,g y ˈ d y m
güdüm,g y d y m ˈ l e ɾ
güllaç,ɟ y l ˈ l a t͡ ʃ
güllaç,ɟ y l l a t͡ ʃ ˈ l a ɾ
gün,ˈ g y n
gün,g y n ˈ l e ɾ
gündelik,g y n d e l i c ˈ l e ɾ
gündelik,g y n d e ˈ l i c
günden,g y n ˈ d e n
güneş,g y ˈ n e ʃ
güneş,g y n e ʃ ˈ l e ɾ
günler,g y n ˈ ɫ ɛ ɾ
günlük,g y n l y c ˈ l e ɾ
günlük,g y n ˈ l y c
günü,g y ˈ n y
gürgen,g y ɾ ˈ g e n
gürgen,g y ɾ g e n ˈ l e ɾ
haberler,h a b ɛ ɾ ˈ ɫ ɛ ɾ
hadisçi,h a d i s ç i ˈ l e ɾ
hadisçi,h a d i s ˈ ç i
hal,h a ɫ ˈ l e ɾ
hal,ˈ h a ɫ
hala,h a l a ˈ l a ɾ
hala,h a ˈ l a
halalar,h a l a ˈ l a ɾ
hamamlar,h a m a m ˈ ɫ a ɾ
hande,h a n ˈ d e
hande,h a n d e ˈ l e ɾ
hasar,h a s a ɾ ˈ l a ɾ
hasar,h a ˈ s a ɾ
hasarla,h a ˈ s a ɾ l a
hasarlar,h a s a ɾ ˈ l a ɾ
hat,h a t ˈ l a ɾ
hat,ˈ h a t
hayvan,h a j ˈ v a n
hayvan,h a j v a n ˈ l a ɾ
hayır,h a y ɯ ɾ ˈ l a ɾ
hayır,h a ˈ y ɯ ɾ
hipotalamus,l a n g t r
hipotalamus,h i p ɔ t ɑ ɫ ɑ m u s
histeri,h i s t e ˈ ɾ i
hortum,h o ɾ ˈ t u m
hâkimiyet,h a k i m i ˈ j e t
hâkimiyetler,h a k i m i j e t ˈ l e ɾ
hâl,h a ɫ ˈ l e ɾ
hâl,ˈ h a ɫ
hâli,h a ˈ ɫ i
hâlleri,h a ɫ ɫ e ˈ ɾ i
hüsnüzan,ˈ h y s n y z a n ˈ l a ɾ
hüsnüzan,ˈ h y s n y z a n
idmanlar,i d m a n ˈ l a ɾ
iffetler,i f f e t ˈ ɫ e ɾ
ihsan,i h s a n ˈ l a ɾ
ihsan,i h ˈ s a n
ihtimaliyet,i h t i m a l i j e t ˈ l e ɾ
ihtimaliyet,i h t i m a l i ˈ j e t
ihtiyaç,i h t i ˈ j a d͡ ʒ
ihtiyaç,i h t i j a d͡ ʒ ˈ l a ɾ
ihtişam,i h t i ʃ a m ˈ l a ɾ
ihtişam,i h t i ˈ ʃ a m
iki,i c i ˈ l e ɾ
iki,i ˈ c i
iktibas,i k t i ˈ b a s
iktibas,i k t i b a s ˈ l a ɾ
iktibasçı,i k t i ˈ b a s
iktibasçı,i k t i b a s ˈ l a ɾ
ileti,i l e t i ˈ l e ɾ
ileti,i l e ˈ t i
ilimle,i ˈ l i m l e
ilkbaharlar,i l c b a h a ɾ ˈ l a ɾ
ilkyazlar,i l c j a z ˈ l a ɾ
imece,i m e ˈ d͡ ʒ e
imece,i m e d͡ ʒ e ˈ l e ɾ
indirme,i n d i ɾ ˈ m e
indirme,l a n g e n
indirme,i n d i ɾ m e ˈ l e ɾ
insan,i n ˈ s a n
is,i s ˈ l e ɾ
is,ˈ i s
isim,i s i m ˈ l e ɾ
isim,i ˈ s i m
isimde,i s i m ˈ d e
isimden,i s i m ˈ d e n
isimleri,i s i m l e r ˈ ɾ i
isme,i s ˈ m e
ismi,i s ˈ m i
ismin,i s ˈ m i n
iste,i s ˈ t e
istemli,i s t e m ˈ l i
istikrar,i s t i c ˈ ɾ a r
istikrar,i s t i c ɾ a r ˈ l a ɾ
istikrarlı,i s t i c ɾ a r l ɯ ˈ l a ɾ
istikrarlı,i s t i c ɾ a r ˈ l ɯ
istikrarsız,i s t i c ɾ a r ˈ s ɯ z
istikrarsız,i s t i c ɾ a r s ɯ z ˈ l a ɾ
isyancılar,i s j a n d͡ ʒ ɯ ˈ l a ɾ
isyancılıklar,i s j a n d͡ ʒ ɯ l ɯ c ˈ l a ɾ
izlence,i z l e n ˈ d͡ ʒ e
izlence,i z l e n d͡ ʒ e ˈ l e ɾ
işler,i ʃ ˈ l e ɾ
kadayıflar,k a d a j ɯ f ˈ l a ɾ
kahverengi,k a h ˈ v e ɾ e n k l e ˈ ɾ i
kahverengi,k a h ˈ v e ɾ e n g i
kaide,q a i ˈ d e
kaide,q a i d e ˈ l e ɾ
kale,c a ˈ l e
kale,c a l e ˈ l e ɾ
kanara,k a n a ɾ a ˈ l a ɾ
kanara,k a ˈ n a ɾ a
kapsam,k a p s a m ˈ l a ɾ
kapsam,k a p ˈ s a m
kara,k a ˈ ɾ a
kara,k ɑ ɾ ɑ ˈ l ɑ ɾ
kara,k ɑ ˈ ɾ ɑ
karamel,k ɑ ɾ ɑ m e l
karamel,l a n g t r
karamela,l a n g t r
karamela,k ɑ ɾ ɑ m ɛ l a
karar,k a ˈ ɾ a ɾ
karar,k a ɾ a ɾ ˈ l a ɾ
kararlar,k a ɾ a ɾ ˈ l a ɾ
karton,c a ɾ ˈ t o n
karton,c a ɾ t o n ˈ l a ɾ
kaynak,c a j n a c ˈ l a ɾ
kaynak,c a j n a c
kaynana,k a j n a ˈ n a
kaynana,k a j n a n a ˈ l a ɾ
kaynata,k a j n a t a ˈ l a ɾ
kaynata,k a j n a ˈ t a
kayınpeder,k a j ˈ ɯ n p e ˈ d e ɾ
kayınpeder,k a j ˈ ɯ n p e d e ɾ ˈ l e ɾ
kayınvalide,k a j ˈ ɯ n v a l i ˈ d e
kayınvalide,k a j ˈ ɯ n v a l i d e ˈ l e ɾ
kaşağı,c a ʃ a ˈ ɯ
kaşağı,c a ʃ a ɯ ˈ l a ɾ
kaşe,k a ʃ e ˈ l e ɾ
kaşe,k a ˈ ʃ e
kediler,k e d i ˈ l e ɾ
kelime,c e l i m e ˈ l e ɾ
kelime,c e l i ˈ m e
kelle,c e l l e ˈ l e ɾ
kelle,c e l ˈ l e
kelle,ˈ c e l l e
kemik,k e m i k
kere,k e ˈ ɾ e
kerevet,ˈ k ɛ r ɛ v ɛ t
keser,c e ˈ s e ɾ
keser,c e s e ɾ ˈ l e ɾ
kibutzlar,ˈ k i b u t z ˈ l a ɾ
kimya,c i m j a ˈ l a ɾ
kimya,c i m ˈ j a
kip,ˈ k i p
kip,d i l T ü r k ç e
kip,k i p ˈ l e ɾ
kitap,k i ˈ t a p
kitap,k i t a p ˈ l a ɾ
kişi,k i ˈ ʃ i
kişi,k i ʃ i ˈ l e ɾ
klinik,k l i ˈ n i c
klinikler,k l i n i c ˈ l e ɾ
kod,ˈ k o d
kod,k o d ˈ l a ɾ
koda,k o ˈ d a
kodu,k o ˈ d u
kokoş,l a n g t r
kokoş,c o ˈ c o ʃ
kokoş,c o c o ʃ ˈ l a ɾ
kombinasyonla,k o m b i n a s ˈ j o n l a
kombinasyonlar,k o m b i n a s j o n ˈ l a ɾ
kombinasyonu,k o m b i n a s j o ˈ n u
konferanslar,k o n f e ɾ a n s ˈ ɫ ɛ ɾ
kongreler,k o n g ɾ ɛ ˈ ɫ ɛ ɾ
koza,k o z a ˈ l a ɾ
koza,k o ˈ z a
kubbe,k u b b e ˈ l e ɾ
kubbe,k u b ˈ b e
kurma,c u ɾ m a ˈ l a ɾ
kurma,ˈ c u ɾ m a
kurma,c u ɾ ˈ m a
kuruş,k u ɾ u ʃ ˈ l a ɾ
kuruş,k u ˈ ɾ u ʃ
kuvvetler,k u v v e t ˈ ɫ e ɾ
kuş,ˈ k u ʃ
kuşak,k u ʃ a c ˈ l a ɾ
kuşak,k u ˈ ʃ a c
kuşağı,k u ʃ a ˈ ɯ
kâse,k j a ˈ s e
kâse,k j a s e ˈ l e ɾ
köprü,k ø p r y ˈ l e ɾ
köprü,k ø p ˈ r y
köy,ˈ k ø j
küçültme,k y t͡ ʃ y l t ˈ m e
küçültme,k y t͡ ʃ y l t m e ˈ l e ɾ
küçültmeler,k y t͡ ʃ y l t m e ˈ l e ɾ
kıraat,k
kıraatlar,k ɯ ɾ a ˈ a t ˈ l a ɾ
kısayol,k ɯ ˈ s a j o l
kısayol,k ɯ ˈ s a j o l ˈ l a ɾ
kız,ˈ k ɯ z
laf,ˈ ɫ a f
lahana,l a h a n a ˈ l a ɾ
lahana,l a ˈ h a n a
lahmacuncu,l a n g t r
lahmacuncu,l a h m ɑː d ʒ ʋ n d ʒ ʋ
lambada,l a m b ɑ d ɑ
lambada,l a n g t r
lastik,ɫ a s ˈ t i k
lastik,ɫ a s t i k ˈ l e ɾ
lağım,l a n g t r
lağım,l a ɣ ɯ m
lezbiyen,t r
lezbiyen,l ɛ ʐ b i j ɛ n
lira,ˈ l i ɾ a ˈ l a ɾ
lira,ˈ l i ɾ a
lisan,l i ˈ s a n
lisan,l i s a n ˈ l a ɾ
mabat,m a ˈ b a t
mabat,m a b a t ˈ l a ɾ
mafsallar,m a f s a l ˈ l a ɾ
manti,m a n t i ˈ l e ɾ
manti,m a n ˈ t i
mantı,m a n t ɯ ˈ l a ɾ
mantı,m a n ˈ t ɯ
masaj,m a s a ʒ ˈ l a ɾ
masaj,m a ˈ s a ʒ
maske,m a s ˈ c e
maskeler,m a s c e ˈ l e ɾ
matematik,m a t e m a ˈ t i k
matematik,m a t e m a t i k ˈ l e ɾ
mavi,m a v i ˈ l e ɾ
mavi,m a ˈ v i
mayo,m a j o ˈ l a ɾ
mayo,m a ˈ j o
mayıs,m a j ɯ s ˈ l a ɾ
mayıs,m a ˈ j ɯ s
mağara,ˈ m a a ɾ a
mağara,ˈ m a a ɾ a ˈ l a ɾ
meddücezir,m e d d y d͡ ʒ e ˈ z i r
medeniyetler,m e d e n i j e t ˈ ɫ e ɾ
memnuniyet,m e m n u n i ˈ j e t
memnuniyet,m e m n u n i j e t ˈ l e ɾ
memnuniyetse,m e m n u n i ˈ j e t s e
menteşe,m e n t e ˈ ʃ e
menteşe,d i l A l m a n c a
menteşe,m e n t e ʃ e ˈ l e ɾ
menteşeler,m e n t e ʃ e ˈ l e ɾ
menziller,m e n z i l ˈ l e ɾ
menü,m e ˈ n y
menüler,m e n y ˈ l e ɾ
merhamet,m e ɾ h a m e t ˈ l e ɾ
merhamet,m e ɾ h a ˈ m e t
merhametler,m e ɾ h a m e t ˈ l e ɾ
merkez,m e ɾ ˈ k e z
merkez,m e ɾ k e z ˈ l e ɾ
merkezse,m e ɾ ˈ k e z s e
merkezîleşme,m e ɾ k e z i l e ʃ m e
merkezîleşme,m e ɾ k e z i l e ʃ m e ˈ l e ɾ
mesaj,m e s a ʒ ˈ l a ɾ
mesaj,m e ˈ s a ʒ
mesul,m e s ʔ u ɫ ˈ l e ɾ
mesul,m e s ˈ ʔ u ɫ
mesul,d i l T ü r k ç e
metalde,m e t a ł ˈ d e
metalden,m e t a ł ˈ d e n
metale,m e t a ˈ l e
metalin,m e t a ˈ ł i n
metaller,m e t a ł ˈ l e ɾ
metâli,m e t a ˈ l i
mevcudiyet,m e v d͡ ʒ u d i j e t ˈ l e ɾ
mevcudiyet,m e v d͡ ʒ u d i ˈ j e t
mezbaha,m e z b a ˈ h a
mezbaha,m e z b a h a ˈ l a ɾ
mimarlıklar,m i m a ɾ l ɯ k ˈ l a ɾ
morfoloji,m o ɾ f o l o ˈ ʒ i
morfolojiler,m o ɾ f o l o ʒ i ˈ l e ɾ
muhaddis,m u h a d d i s ˈ l e ɾ
muhaddis,m u h a d ˈ d i s
muharrem,m u h a ɾ ˈ ɾ e m
mukaddesler,m u k a d d e s ˈ ɫ e ɾ
müellif,m y e l ˈ l i f
müellifler,m y e l l i f ˈ l e ɾ
mühimmat,m y h i m ˈ m a t
mühimmat,m y h i m m a t ˈ l a ɾ
mühür,m y h y ɾ ˈ l e ɾ
mühür,m y ˈ h y ɾ
müneccim,m y n e d͡ ʒ d͡ ʒ i m ˈ l e ɾ
müneccim,m y n e d͡ ʒ ˈ d͡ ʒ i m
müneccimlik,m y n e d͡ ʒ d͡ ʒ i m l i c ˈ l e ɾ
müneccimlik,m y n e d͡ ʒ d͡ ʒ i m ˈ l i c
mısır,m ɯ ˈ s ɯ ɾ
mısır,m ɯ s ɯ ɾ ˈ l a ɾ
naip,n a ˈ i p
naip,n a i p ˈ l e ɾ
nasır,n a s ɯ ɾ ˈ l a ɾ
nasır,n a ˈ s ɯ ɾ
nebiler,n e b i ˈ ɫ e ɾ
oda,o ˈ d a
odalar,o d a ˈ l a ɾ
olay,o ˈ l a j
olay,o l a j ˈ l a ɾ
ortaklaşa,o ɾ t a k l a ˈ ʃ a
oseonografya,o s e n o g ɾ a j a ˈ l a ɾ
oseonografya,o s e n o ˈ g ɾ a j a
otolar,o t o ˈ l a ɾ
otomobil,o t o m o ˈ b i ɫ
otomobil,o t o m o b i ɫ ˈ ɫ e ɾ
oturumlar,o t u ɾ u m ˈ ɫ ɛ ɾ
oğlan,o l a n ˈ l a ɾ
oğlan,o ˈ l a n
oğul,o u l ˈ l a ɾ
oğul,o ˈ u l
oşinografi,o ʃ i n o g ɾ a f i ˈ l e ɾ
oşinografi,o ʃ i n o g ɾ a ˈ f i
oşionografi,o s e n o g ɾ a j a ˈ l a ɾ
oşionografi,o s e n o ˈ g ɾ a j a
paket,p a ˈ c e t
paketlemeler,p a c e t l e m e ˈ l e ɾ
paradigma,d i l İ n g i l i z c e
paradigma,p a ɾ a d i ˈ g m a ˈ l a ɾ
paradigma,p a ɾ a d i ˈ g m a
patlıcan,p a t l ɯ d͡ ʒ a n ˈ l a ɾ
patlıcan,p a t l ɯ ˈ d͡ ʒ a n
patlıcanlar,p a t l ɯ d͡ ʒ a n ˈ l a ɾ
payanda,p a j a n d a ˈ l a ɾ
payanda,p a j a n ˈ d a
pazar,p a ˈ z a ɾ
pazar,p a z a ɾ ˈ l a ɾ
pazartesi,p a ˈ z a ɾ t e s i
pazartesi,p a ˈ z a ɾ t e s i ˈ l e ɾ
performans,p e ɾ f o ɾ ˈ m a n s
perhiz,p e ɾ ˈ h i z
perhiz,p e ɾ h i z ˈ l e ɾ
permütasyonlar,p e ɾ m y t a s j o n ˈ l a ɾ
