headword,pronunciation
алла,А́ л л ы
алтай,
алтай,ɐ ɫ ˈ t a j
альбион,ɐ lʲ bʲ ɪ ˈ o n̪ ɨ
альбион,ɐ lʲ bʲ ɪ ˈ o n̪
альгамбра,ɐ lʲ ˈ ɡ a m b r ə
альгамбра,ɐ lʲ ˈ ɡ a m b r ɨ
алёна,ɐ ˈ lʲ ɵ n ɨ
алёна,ɐ ˈ lʲ ɵ n ə
амфитрион,ɐ m fʲ ɪ t̪ rʲ ɪ ˈ o n̪
амфитрион,ɐ m fʲ ɪ t̪ rʲ ɪ ˈ o n̪ ɨ
анапа,
анапа,ɐ ˈ n ɑ p ə
анатольевич,ə n ɐ ˈ t o lʲ j ɪ vʲ ɪ ʨ ɪ
анатольевич,ə n ɐ ˈ t o lʲ j ɪ vʲ ɪ ʨ
андрей,a n ˈ d rʲ e j
андрей,a n ˈ d rʲ e ɪ
анды,
анды,ˈ ɑ n d ɨ
анна,А́ н н ы
анна,А́ н н а
антанта,ɐ n̪ ˈ t̪ a n̪ t̪ ɨ
антанта,ɐ n̪ ˈ t̪ a n̪ t̪ ə
антарктика,А н т а́ р к т и к а
антарктика,А н т а́ р к т и к и
антон,ɐ n̪ ˈ t̪ o n̪
антон,ɐ n̪ ˈ t̪ o n̪ ɨ
антоха,А н т о́ х а
антоха,А н т о́ х и
анюков,ɐ nʲ ʉ ˈ k o f ɐ nʲ ʉ ˈ k o v ə
анюков,ɐ nʲ ʉ ˈ k o v ɨ
апокалипсис,ɐ p ɐ ˈ k a lʲ ɪ p sʲ ɪ s ɨ
апокалипсис,ɐ p ɐ ˈ k a lʲ ɪ p sʲ ɪ s
арагви,ɐ ˈ r a g vʲ ɪ
арбат,А р б а́ т ы
арбат,А р б а́ т
арей,ɐ ˈ r ɛ i
арей,ɐ ˈ r ɛ ɪ̯
арес,ɐ ˈ r ɛ s ɨ
арес,ɐ ˈ r ɛ s
арктика,А́ р к т и к а
арктика,А́ р к т и к и
арлекин,ɐ r lʲ ɪ ˈ kʲ i n ɨ
арлекин,ɐ r lʲ ɪ ˈ kʲ i n
артищев,ɐ r ˈ tʲ i ɕː ɪ v ɨ
артищев,ɐ r ˈ tʲ i ɕː ɪ f
артём,ɐ r ˈ tʲ ɵ m ɨ
артём,ɐ r ˈ tʲ ɵ m
архип,ɐ ɾ ˈ xʲ i p
архип,ɐ ɾ ˈ xʲ i p ɨ
асланбий,ɐ s̪ ɫ ɐ n̪ ˈ bʲ i ɪ̯
асланджерий,ɐ s̪ ɫ ə n̪ d̪ ʐ ɨ ˈ rʲ i ɪ̯
ахиллес,ɐ xʲ ɪ ˈ lʲ e s ɨ
ахиллес,ɐ xʲ ɪ ˈ lʲ e s
бажен,Б а ж е́ н ы
бажен,Б а ж е́ н
байкал,
байкал,b ɐ ɪ̯ ˈ k a ɫ̪
балаклава,b ə ɫ̪ ɐ ˈ k ɫ̪ ä v ɨ
балаклава,b ə ɫ̪ ɐ ˈ k ɫ̪ ä v ə
бармаглот,b 6 0 1 r m 6 5 2 7 1 2 g l o t
бах,b a x
бах,ˈ b a xʲ ɪ
бахрейн,Б а х р е́ й н ы
бахрейн,Б а х р е́ й н
бахус,ˈ b a x ʊ s̪ ɨ
бахус,ˈ b a x ʊ s̪
бедлам,bʲ ɪ d̪ ˈ ɫ̪ ä m ɨ
бедлам,bʲ ɪ d̪ ˈ ɫ̪ ä m
берёзовая,bʲ ɪ ˈ rʲ ɵ z ə v ə j ə
берёзовая,bʲ ɪ ˈ rʲ ɵ z ə v ɨ j ə
бирма,ˈ bʲ i r m ɨ
бирма,ˈ bʲ i r m ə
благовещение,Б л а г о в е́ щ е н и я
благовещение,Б л а г о в е́ щ е н и е
бог,
бог,ˈ b o x
братислава,b r ɐ tʲ i s ɫ a v ɨ
братислава,b r ɐ tʲ i s ɫ a v ə
британия,b rʲ ɪ ˈ t̪ ä nʲ ɪ ɪ̯ ə
британия,b rʲ ɪ ˈ t̪ ä nʲ ɪ ɪ̯ ɪ
бэкон,б э́ к о н
бэкон,б э́ к о н ы
вавилон,v ə vʲ ɪ ˈ ɫ o n
вавилон,v ə vʲ ɪ ˈ ɫ o n ɨ
вадим,v ɐ ˈ dʲ i m ɨ
вадим,v ɐ ˈ dʲ i m
ванька,ˈ v ä nʲ kʲ ɪ
ванька,ˈ v ä nʲ k ə
варвара,v ɐ r ˈ v a r ə
варвара,v ɐ r ˈ v a r ɨ
варуна,v ɐ ˈ r ʊ n ə
васька,ˈ v ä sʲ k ə
васька,ˈ v ä sʲ kʲ ɪ
веда,ˈ vʲ e d̪ ə
веда,ˈ vʲ e d̪ ɨ
венера,vʲ ɪ ˈ nʲ e r ɨ
венера,vʲ ɪ ˈ nʲ e r ə
вера,ˈ vʲ e r ə
вера,ˈ vʲ e r ɨ
весы,
весы,vʲ ɪ ˈ s ɨ
википедия,vʲ ɪ kʲ ɪ ˈ pʲ e dʲ ɪ j ə
википедия,vʲ ɪ kʲ ɪ ˈ pʲ e dʲ ɪː
викисловарь,В и к и с л о в а́ р ь
викисловарь,В и к и с л о в а р и́
викисловарь:инкубатор/логан,ˈ ɫ o g a n
викисловарь:инкубатор/логан,ˈ ɫ o g a n ɨ
викисловарь:инкубатор/цагн,
викисловарь:инкубатор/цагн,Ц а г н
викисловарь:инкубатор/бэггер,б э г г е р
викисловарь:инкубатор/бэггер,б э г г е р ы
викисловарь:инкубатор/вещина,vʲ e ˈ ɕː n a
викисловарь:инкубатор/виниловка,в и н и л о ф к а
викисловарь:инкубатор/воксел,в о к с е л
викисловарь:инкубатор/воксел,в о к с е л ы
викисловарь:инкубатор/глумёж,ɡ ɫ̪ ʊ ˈ mʲ ɵ ʂ
викисловарь:инкубатор/глумёж,ɡ ɫ̪ ʊ ˈ mʲ ɵ ʐ ɨ
викисловарь:инкубатор/кита,ˈ kʲ i t ə
викисловарь:инкубатор/кита,ˈ kʲ i t ɨ
викисловарь:инкубатор/колять,k o lʲ a tʲ
викисловарь:инкубатор/коржак,k o ŕ j a k i
викисловарь:инкубатор/коржак,k o ŕ j a k
викисловарь:инкубатор/маус,m a u s
викисловарь:инкубатор/маус,m a u s y
викисловарь:инкубатор/перифразема,п е р и ф р а з е́ м ы
викисловарь:инкубатор/перифразема,п е р и ф р а з е́ м а
викисловарь:инкубатор/псакинг,ˈ p s a kʲ ɪ n gʲ ɪ
викисловарь:инкубатор/псакинг,ˈ p s a kʲ ɪ n k
викисловарь:инкубатор/пунтер,п у нʲ т ə р
вишня,В и́ ш н я
вишня,В и́ ш н и
владимир,v l ɐ ˈ dʲ i mʲ i r ɨ
владимир,v l ɐ ˈ dʲ i mʲ i r
волчиха,v ɐ l ˈ t͡ ɕ i xʲ ɪ
волчиха,v ɐ l ˈ t͡ ɕ i x ə
воля,ˈ v o lʲ ə
воля,ˈ v o lʲ ɪ
всеволодович,ˈ f v sʲ e v ə ɫ̪ ə d̪ ə vʲ ɪ t͡ ɕ
всеволодович,ˈ f v sʲ e v ə ɫ̪ ə d̪ ə vʲ ɪ t͡ ɕ ɪ
вулкан,v ʊ ɫ ˈ k a n̪ ɨ
вулкан,v ʊ ɫ ˈ k a n̪
вы,v ɨ
выборг,
выборг,ˈ v ɨ b ə r x
гацир,ɡ ɐ ˈ t͡ s ɨ r
георгиевск,
георгиевск,ɡʲ ɪ o r 	 ɡʲ ɪ j e v s k
герцеговина,g s u p j s u p r c g ə ˈ v s u p j s u p i n ə
глеб,ˈ ɡ lʲ ɛ b ɨ
глеб,ɡ lʲ ɛ p
голяк,ɡ ɐ ˈ lʲ a k
голяк,ɡ ə lʲ ɪ ˈ kʲ i
гуж,г у́ ж и
даша,Д а́ ш и
даша,Д а́ ш а
дворжак,ˈ d v o r ʐ ə k
дворжак,ˈ d v o r ʐ ə kʲ ɪ
демиург,dʲ ɪ mʲ ɪ ˈ u r k
джанкой,Д ж а н к о́ й
джанкой,Д ж а н к о́ и
диомид,dʲ ɪ ɐ ˈ mʲ i t
диомид,dʲ ɪ ɐ ˈ mʲ i d ɨ
дипилон,д и п и л о́ н
дипилон,д и п и л о́ н ы
дичь,dʲ i t͡ ɕ
дичь,
доминика,Д о м и н и́ к и
доминика,Д о м и н и́ к а
евгений,j ɪ v ˈ gʲ e nʲ ɪ j
евгений,j ɪ v ˈ gʲ e nʲ ɪ ɪ
евпатория,Е в п а т о́ р и я
евпатория,Е в п а т о́ р и и
евразия,Е в р а́ з и я
евразия,Е в р а́ з и и
евровидение,Е в р о в и́ д е н и я
евровидение,Е в р о в и́ д е н и е
европа,j ɪ v ˈ r o p ɨ
европа,j ɪ v ˈ r o p ə
египет,Е г и́ п т ы
египет,Е г и́ п е т
егор,j ɪ ˈ g o r
егор,j ɪ ˈ g o r ɨ
екатеринбург,Е к а т е р и н б у́ р г
екатеринбург,Е к а т е р и н б у́ р г и
ереван,
ереван,j ɪ rʲ ɪ ˈ v a n
ерофей,ɪ̯ j ɪ r ɐ ˈ fʲ e ɪ̯
ерофей,ɪ̯ j ɪ r ɐ ˈ fʲ e ɪ̯ ɪ
жерновка,ж е р н о́ в к и
жерновка,ж е р н о́ в к а
залупа,З а л у́ п ы
залупа,З а л у́ п а
земля,ˈ zʲ e m lʲ ɪ
земля,zʲ ɪ m ˈ lʲ æ
зира,З и́ р а
зира,З и́ р ы
изменчивый,ɪ ˈ z mʲ e nʲ t͡ ɕ ɪ v ɨ j ə
изменчивый,ɪ ˈ z mʲ e nʲ t͡ ɕ ɪ v ɨ j
индия,И́ н д и я
индия,И́ н д и и
индра,И́ н д р а
индра,И́ н д р ы
иордан,ɪ ɐ r ˈ d a n
иордан,ɪ ɐ r ˈ d a n ɨ
иордания,И о р д а́ н и и
иордания,И о р д а́ н и я
йемен,Й е́ м е н ы
йемен,Й е́ м е н
казань,
казань,k ɐ ˈ z a nʲ
казбек,
казбек,k ɐ s ˈ bʲ e kʲ ɪ
казбек,k ɐ s ˈ bʲ e k
каир,К а и́ р
каир,К а и́ р ы
кама,К а́ м а
кама,К а́ м ы
кемь,К е м ь
киргизстан,К и р г и з с т а́ н ы
киргизстан,К и р г и з с т а́ н
кит,kʲ ɪ t
кит,ˈ kʲ ɪ t ɨ
клондайк,k ɫ ɐ n ˈ d a ɪ̯ kʲ ɪ
клондайк,k ɫ ɐ n ˈ d a ɪ̯ k
кола,ˈ k o ɫ̪ ə
кола,ˈ k o ɫ̪ ɨ
колян,k ɐ ˈ lʲ æ n
компас,ˈ k o m p ə s ɨ
компас,ˈ k o m p ə s
константин,k ə n s t ɐ nʲ ˈ tʲ i n
константин,k ə n s t ɐ nʲ ˈ tʲ i n ɨ
констанция,k ə n ˈ s t ɐ n t s ɪ j ɪ
констанция,k ə n ˈ s t ɐ n t s ɪ j ə
коран,k ɐ ˈ r a n ɨ
коран,k ɐ ˈ r a n
коринка,k ɐ ˈ rʲ i n k ə
коринка,k ɐ ˈ rʲ i n k ɪ
коста-рика,К о̀ с т а Р и́ к и
коста-рика,К о̀ с т а Р и́ к а
костян,k ɐ ˈ sʲ tʲ æ n
кошурников,k ɐ ˈ ʂ u r nʲ ɪ k ə f
кошурников,k ɐ ˈ ʂ u r nʲ ɪ k ə v ɨ
краснодар,
краснодар,k r ɐ s n ɐ ˈ d a ɾ
крутой,К р у т о́ й
крутой,К р у т ы́ е
крым,k r ɨ m
крым,
крым,ˈ k r ɨ m ɨ
ксения,ˈ k sʲ e nʲ ɪː
ксения,ˈ k sʲ e nʲ ɪ j ə
кубань,
кубань,k ʊ ˈ b a nʲ
кузьма,k ʊ zʲ ˈ m a
кузьма,k ʊ zʲ ˈ m ɨ
кума,
кума,k ʊ ˈ m a
кура,
кура,k ʊ ˈ r a
курск,
курск,k u r s k
кыров,ˈ k ɨ r ə v ɨ
кыров,ˈ k ɨ r ə f
лажа,ˈ ɫ̪ a ʐ ə
лажа,
лазарь,Л а́ з а р и
лазарь,Л а́ з а р ь
лев,lʲ e f
лев,lʲ v ɨ
лекс,ˈ lʲ e k s ɨ
лекс,ˈ lʲ e k s
леонард,Л е о н а́ р д
леонард,Л е о н а́ р д ы
ливадия,Л и в а́ д и и
ливадия,Л и в а́ д и я
лиза,ˈ lʲ i z̪ ɨ
лиза,ˈ lʲ i z̪ ə
лина,ˈ ɫʲ i n ɨ
лина,ˈ ɫʲ i n ə
липецк,
липецк,ˈ lʲ i pʲ ɪ t s k
лист,lʲ i s t
лист,ˈ lʲ i s t ɨ
лондон,ˈ l o n d ə n
лондон,ˈ l o n d ə n ɨ
луна,ɫ ʊ ˈ n a
луна,
львов,lʲ v o f
львов,
мид,ˈ mʲ i d ɨ
мид,mʲ i t
майка,ˈ m a ɪ̯ kʲ ɪ
майка,ˈ m a ɪ̯ k ə
майя,М а́ й и
майя,М а́ й я
максим,m ɐ k ˈ sʲ i m
максим,m ɐ k ˈ sʲ i m ɨ
малая,ˈ m a l ɨ j ə
малая,ˈ m a l ə j ə
маня,ˈ m a nʲ ə
маня,ˈ m a nʲ ɪ
марс,ˈ m a r s ɨ
марс,m a r s
мартын,m ɐ r ˈ t ɨ n
мартын,m ɐ r ˈ t ɨ n ɨ
масленица,ˈ m a s̪ lʲ ɪ nʲ ɪ t͡ s ə
масленица,ˈ m a s̪ lʲ ɪ nʲ ɪ t͡ s ɨ
мата,ˈ m a t̪ ə ɨ
мата,ˈ m a t̪ ə
матвей,m ɐ t̬ ˈ vʲ e ɪ
матвей,m ɐ t̬ ˈ vʲ e j
матвейчук,m ɐ t̬ vʲ e j t͡ ɕ ʊ ˈ kʲ i
матвейчук,m ɐ t̬ vʲ e j ˈ t͡ ɕ u k
махачкала,
медведев,mʲ ɪ d̪ ˈ vʲ e dʲ ɪ f mʲ ɪ d̪ ˈ vʲ e dʲ ɪ v ə
медведев,mʲ ɪ d̪ ˈ vʲ e dʲ ɪ v ɨ
мечеть,м е ч е́ т ь
мечеть,м е ч е́ т и
микола,mʲ ɪ ˈ k o ɫ ɨ
микола,mʲ ɪ ˈ k o ɫ ə
мила,ˈ mʲ i ɫ ə
мила,ˈ mʲ i ɫ ɨ
михаил,mʲ ɪ x ɐ ˈ i ɫ ɨ
михаил,mʲ ɪ x ɐ ˈ i ɫ
михайло,mʲ ɪ ˈ x a j ɫ ə
михайло,mʲ ɪ ˈ x a j ɫ ɨ
михайловский,М и х а́ й л о в с к и й
михайловский,М и х а́ й л о в с к и е
михась,ˈ mʲ ɪ ˈ x ə sʲ
михась,ˈ mʲ ɪ ˈ x ə sʲ ɪ
миша,ˈ mʲ i ʂ ɨ
миша,ˈ mʲ i ʂ ə
монстрация,m ɐ n̪ ˈ s̪ t̪ r ä t͡ s ɨ ɪ̯ ə
монстрация,m ɐ n̪ ˈ s̪ t̪ r ä t͡ s ɨ ɪ̯ ɪ
мошков,m ɐ ʂ ˈ k o v ɨ
мошков,m ɐ ʂ ˈ k o f
мук,м у́ к и
мурзик,ˈ m u r zʲ ɪ k
мурзик,ˈ m u r zʲ ɪ kʲ ɪ
мурка,М у́ р к и
мурка,М у́ р к а
мурманск,
мурманск,ˈ m u r m ə n s k
мухосранск,m ʊ x ɐ ˈ s̪ r a n̪ s̪ k
мухосранск,m ʊ x ɐ ˈ s̪ r a n̪ s̪ kʲ ɪ
мшага,ˈ m ʂ a ɡʲ ɪ
мшага,ˈ m ʂ a ɡ ə
мыкола,m ɨ ˈ k o ɫ ɨ
мыкола,m ɨ ˈ k o ɫ ə
нариман,Н а р и м а́ н ы
нариман,Н а р и м а́ н
нем,ˈ nʲ e m ɨ
нем,nʲ e m
нептун,nʲ ɪ p ˈ t u n ɨ
нептун,nʲ ɪ p ˈ t u n
нерон,Н е р о́ н ы
нерон,Н е р о́ н
ник,ˈ nʲ i kʲ ɪ
ник,nʲ i k
никки,ˈ nʲ ɪ k k ɪ
николаевич,nʲ ɪ k ɐ ˈ ɫ a ɪ vʲ ɪ t ɕ ɪ
николаевич,nʲ ɪ k ɐ ˈ ɫ a ɪ vʲ ɪ t ɕ
николай,nʲ ɪ k ɐ ˈ ɫ a j
николай,nʲ ɪ k ɐ ˈ ɫ a ɪ
норма,ˈ n o r m ə
норма,ˈ n o r m ɨ
нунавут,Н у́ н а в у т
нью-йорк,n j ʊ ˈ j ɵ r kʲ ɪ
нью-йорк,n j ʊ ˈ j ɵ r k
няша,Н я́ ш а
няша,Н я́ ш и
об,ˈ o b ɨ
об,o b
обена,ə bʲ ɪ ˈ n a
обь,
обь,o pʲ
одесса,ɐ ˈ dʲ e sː ɨ
одесса,ɐ ˈ dʲ e sː ə
ока,ɐ ˈ k a
оксана,ɐ k ˈ s a n ɨ
оксана,ɐ k ˈ s a n ə
ольга,ˈ o lʲ ɡ ə
ольга,ˈ o lʲ ɡʲ ɪ
ос,o s̪
павел,ˈ p a vʲ ɪ l
павлович,ˈ p a v ɫ ə vʲ ɪ t͡ ɕ ɪ
павлович,ˈ p a v ɫ ə vʲ ɪ t͡ ɕ
пацин,ˈ p a t s ɨ n
пацин,ˈ p a t s ɨ n ɨ
петрович,pʲ ɪ t ˈ r o vʲ ɪ t ɕ
петрович,pʲ ɪ t ˈ r o vʲ ɪ t ɕ ɪ
петрозаводск,pʲ ɪ t r ə z ɐ ˈ v o t s k
петя,П е́ т и
петя,П е́ т я
пиндосия,pʲ ɪ n̪ ˈ d̪ o sʲ ɪ ɪ̯ ɪ
пиндосия,pʲ ɪ n̪ ˈ d̪ o sʲ ɪ ɪ̯ ə
пиндостан,П и н д о с т а́ н
пиндостан,П и н д о с т а́ н ы
пип,п и́ п ы
пипа,п и́ п а
пипа,п и́ п ы
плутон,p ɫ ʊ ˈ t o n
плутон,p ɫ ʊ ˈ t o n ɨ
победа,п о б е́ д ы
победа,п о б е́ д а
погребной,p ə ɡ rʲ ɪ b ˈ n o ɪ̯
погребной,p ə ɡ rʲ ɪ b ˈ n ɨ ɪ
пола,ˈ p o̞ ɫ ə
пола,ˈ p o̞ ɫ ɨ
почка,ˈ p o ʨ k ə
почка,ˈ p o ʨ kʲ ɪ
примаков,p rʲ ɪ m ɐ ˈ k o v ɨ
примаков,p rʲ ɪ m ɐ ˈ k o f
псалтирь,p s ɐ ɫ ˈ t i ɾʲ ɪ
псалтирь,p s ɐ ɫ ˈ t i ɾʲ
псалтырь,p s ɐ ɫ ˈ t ɨ ɾʲ ɪ
псалтырь,p s ɐ ɫ ˈ t ɨ ɾʲ
птолемей,П т о л е м е́ и
птолемей,П т о л е м е́ й
пупкин,П у́ п к и н ы
пупкин,П у́ п к и н
рахметов,r ɐ x ˈ mʲ e t ə f
рахметов,r ɐ x ˈ mʲ e t ə v ɨ
рига,Р и́ г и
рига,Р и́ г а
ригель,Р и́ г е л и
ригель,Р и́ г е л ь
росомаха,Р о с о м а́ х и
росомаха,Р о с о м а́ х а
рубинштейн,r ʉ bʲ ɪ n ˈ ʨ t ɛ j n
рубинштейн,r ʉ bʲ ɪ n ˈ ʨ t ɛ j n ɨ
рыбная,ˈ r ɨ b n̪ ə ɪ̯ ə
рыбная,ˈ r ɨ b n̪ ɨ ɪ̯ ɪ
сайкин,ˈ s a j kʲ ɪ n ɨ
сайкин,ˈ s a j kʲ ɪ n
салехард,
самара,s ɐ ˈ m a r ə
самара,s ɐ ˈ m a r ɨ
саня,ˈ s̪ a nʲ ə
саня,ˈ s̪ a nʲ ɪ
саранск,
саранск,s ɐ ˈ r a n s k
сарма,s̪ ɐ r ˈ m a
сарма,s̪ ɐ r ˈ m ɨ
сатурн,s ɐ ˈ t u r n
сатурн,s ɐ ˈ t u r n ɨ
саша,ˈ s̪ ä ʂ ɨ
саша,ˈ s̪ ä ʂ ə
свислочь,ˈ s̪ v i s̪ ɫ̪ ə t͡ ɕ
свислочь,ˈ s̪ v i s̪ ɫ̪ ə t͡ ɕ ɪ
севастополь,С е в а с т о́ п о л ь
севастополь,С е в а с т о́ п о л и
сергеевич,sʲ ɪ r ˈ ɡʲ e ɪ vʲ ɪ t͡ ɕ ɪ
сергеевич,sʲ ɪ r ˈ ɡʲ e ɪ vʲ ɪ t͡ ɕ
сергей,sʲ ɪ r ˈ gʲ ɛ j ɪ
сергей,sʲ ɪ r ˈ gʲ ɛ j
серебряная,с е р е́ б р я н ы е
серебряная,с е р е б р я́ н а я
серов,sʲ ɪ ˈ r o v ɨ
серов,sʲ ɪ ˈ r o f sʲ ɪ ˈ r o v ə
сечь,sʲ e t͡ ɕ
сечь,ˈ sʲ e t͡ ɕ ɪ
сибирь,с и б и́ р ь
сибирь,с и б и́ р и
симферополь,С и м ф е р о́ п о л и
симферополь,С и м ф е р о́ п о л ь
снегурочка,s nʲ ɪ ˈ g u r ə t ɕ kʲ ɪ
снегурочка,s nʲ ɪ ˈ g u r ə t ɕ k ə
совфед,s̪ ɐ ˈ fʲː e t̪
совфед,s̪ ɐ ˈ fʲː e d̪ ɨ
солнце,ˈ s o n t s ə
соник,ˈ s o nʲ ɪ k
союз,s ʌ ˈ j u s
союз,s ʌ ˈ j u z ɨ̞
ставрополь,ˈ s t a v r ə p ə lʲ ɪ
ставрополь,ˈ s t a v r ə p ə lʲ
станислава,s t ə nʲ ɪ ˈ s ɫ a v ɨ
станислава,s t ə nʲ ɪ ˈ s ɫ a v ə
сура,
сура,s ʊ ˈ r a
сёма,ˈ sʲ ɵ m ə
сёма,ˈ sʲ ɵ m ɨ
тайвань,Т а й в а́ н ь
тайвань,Т а й в а́ н и
тамань,
тамань,t ɐ ˈ m a nʲ
тамара,t ɐ ˈ m a r ɨ
тамара,t ɐ ˈ m a r ə
тамбовщина,
тамбовщина,t ɐ m ˈ b o f ɕː ɪ n ə
тесаков,tʲ ɪ s ɐ ˈ k o v ɨ
тесаков,tʲ ɪ s ɐ ˈ k o f
тина,ˈ tʲ i n ə
тина,ˈ tʲ i n ɨ
тойма,ˈ t o j m ɨ
тойма,ˈ t o j m ə
толстоевский,Т о л с т о е́ в с к и й
толстоевский,Т о л с т о е́ в с к и е
толстой,т о л с т о́ й
толстой,т о л с т ы́ е
тоха,Т о́ х и
тоха,Т о́ х а
тоша,Т о́ ш и
тоша,Т о́ ш а
троил,Т р о и́ л
троил,Т р о и́ л ы
труд,t̪ r u t̪
труд,t̪ r ʊ ˈ d̪ ɨ
тукан,т у к а́ н ы
тукан,т у к а́ н
тур,т у́ р ы
туркменистан,Т у р к м е н и с т а́ н ы
туркменистан,Т у р к м е н и с т а́ н
туркмения,Т у р к м е́ н и и
туркмения,Т у р к м е́ н и я
турция,ˈ t u r t s ɪ j ə
турция,ˈ t u r t s ɪ ɪ
тыва,
тыва,t ɨ ˈ v a
тёмная,Т ё м н ы е
украина,ʊ k r ɐ ˈ i n ɨ
украина,ʊ k r ɐ ˈ i n ə
украинка,ʊ k r ˈ a i n kʲ ɪ
украинка,ʊ k r ˈ a i n k ə
улита,У л и́ т ы
улита,У л и́ т а
уран,ʊ ˈ r a n ɨ
уран,ʊ ˈ r a n
федя,ˈ fʲ e dʲ ə
федя,ˈ fʲ e dʲ ɪ
фейсбук,ˈ f e ɪ s ˌ b ʊ k
фейсбук,ˈ f e ɪ s ˌ b ʊ kʲ ɪ
феодосия,Ф е о д о́ с и я
феодосия,Ф е о д о́ с и и
фома,f ɐ ˈ m ɨ
фома,f ɐ ˈ m a
фригия,Ф р и́ г и я
фригия,Ф р и́ г и и
фёдоров,Ф ё д о р о в
фёдоров,Ф ё д о р о в ы
хадж,ˈ x a d̪ ʐ ɨ
хадж,x ä t̪ ʂ
хирон,Х и р о́ н
хирон,Х и р о́ н ы
хитачи,Х и т а́ ч и
холодная,x ɐ ˈ l o d n ə j ə
холодная,x ɐ ˈ l o d n ɨ j ə
хопёр,x ɐ ˈ pʲ o̞ ɾ
хопёр,
хэллоуин,Х э л л о у и́ н
хэллоуин,Х э л л о у и́ н ы
чад,Ч а д
чад,Ч а́ д ы
челябинск,t͡ ɕ ɪ ˈ lʲ ä bʲ ɪ n̪ s̪ k
челябинск,t͡ ɕ ɪ ˈ lʲ ä bʲ ɪ n̪ s̪ kʲ ɪ
червяк,t͡ ɕ ɪ r vʲ ɪ ˈ kʲ i
червяк,t͡ ɕ ɪ r ˈ vʲ æ k
черенков,t͡ ɕ ɪ rʲ ɪ n ˈ k ɔ v ɨ
черенков,t͡ ɕ ɪ rʲ ɪ n ˈ k ɔ f
черепаха,ʨ ɪ rʲ ɪ ˈ p a x ə
черепаха,ʨ ɪ rʲ ɪ ˈ p a xʲ ɪ
чернь,Ч е р н ь
чернь,Ч е́ р н и
чечня,
чечня,ʨ ɪ ʨ ˈ nʲ æ
шайтан,ʂ ɐ j ˈ t a n
шайтан,ʂ ɐ j ˈ t a n ɨ
шарапов,ʂ ʌ ˈ r a p ə v ɨ
шарапов,ʂ ʌ ˈ r a p ə f
ы,ɨ
эбола,ɛ ˈ b o̞ ɫ̪ ə
