headword,pronunciation
eccellenza,E t t ʃ e l ˈ l ɛ n t s a
efesini,e ˈ f ɛ z i n i
egizi,e ˈ d͡ ʒ i t͡ s i
elisa,e ˈ l i z a
eliso,e ˈ l i z o
emanuela,e m a n u ˈ ɛ l a
emanuele,e m a n u ˈ ɛ l e
entomostrachi,e n t o ˈ m ɔ s t r a t ʃ i
entomostraci,e n t o ˈ m ɔ s t r a t ʃ i
eocene,e o ˈ t ʃ ɛ n e
esodo,ˈ ɛ z o d o
etna,ˈ E t n a
ettore,ˈ ɛ t t o r e
euteri,e w ˈ t ɛ r i
fanerozoico,f a n e r o d ˈ d z ɔ j k o
fantina,f a n ˈ t i n o
filemone,f i l e ˈ m o n e
filippesi,f i l i ˈ p e z i
fioravante,
fiume,ˈ F j u m e
galati,ˈ g a l a t i
galvani,ɡ a l ˈ v a n i
galvano,ɡ a l ˈ v a n o
gemelli,d ʒ e ˈ m ɛ l l i
genesi,ˈ d ʒ e n e z i
geova,ˈ d ʒ ɛ o v a
germania,d ʒ e r ˈ m a n j a
giammario,d ʒ a m ˈ m a r j o
gianmario,d ʒ a m ˈ m a r j o
giano,ˈ d ʒ i a n o
giappone,d ʒ a p p o ˈ n e
giorgio,ˈ d ʒ o r d ʒ o
giovanna,d ʒ o ˈ v a n n a
giovanni,d ʒ o ˈ v a n n i
giuda,ˈ d ʒ i u d a
giuseppe,d ʒ u ˈ z ɛ p p e d ʒ u ˈ s ɛ p p e
gru,ˈ g r u
iat,ˈ j a t
insubria,i n ˈ s u b r i a
io,ˈ i o
iride,ˈ i r i d e
iris,ˈ i r i s
irlanda,i r ˈ l a n d a
italia,i ˈ t aː l i̯ a
italia,i ˈ t a l j a
jacopo,ˈ j a k o p o
juventus,j u ˈ v ɛ n t u s
leone,l e ˈ o n e
letizia,L e ˈ t i t s j a
levitico,l e ˈ v i t i k o
limone,l i ˈ m o n e
lodovica,l o d o ˈ v i k a
lodovico,l o d o ˈ v i k o
lollove,ˈ l o l o v ɛ
loredana,l o r e ˈ d a n a
loredano,l o r e ˈ d a n o
luca,ˈ l uː k a
ludovica,l u d o ˈ v i k a
ludovico,l u d o ˈ v i k o
luna,ˈ l u n a
lusazia,l u ˈ z a t s j a
manuela,m a n u ˈ ɛ l a
manuele,m a n u ˈ ɛ l e
maremma,m a ˈ r e m m a
marica,m a ˈ ɾ i k a
marmolada,m a r m o ˈ l a d a
massima,ˈ m a s s i m a
matteo,m a t ˈ t ɛː o
melbourne,ˈ m ɛ l b ə r n
mercurio,m e r ˈ k u r j o
milan,ˈ m i l ã
milano,m ɪ ˌ l aː n o
monza,ˈ m o n t s a
musa,ˈ m u z a
natale,n a ˈ t a l e
nemesi,ˈ n ɛ m e z i
neodevoniano,n ɛ o d e v o ˈ n j a n o
neolitico,n e o ˈ l i t i k o
nettuno,ŋ e t t u n o
novokuzneck,n o ˈ v o k u z n e c k
numeri,ˈ n u m e ɾ i
nunzia,ˈ n u n t s j a
nunzio,ˈ n u n t s j o
oligocene,o l i g o ˈ t ʃ ɛ n e
olocausto,o l o ˈ k a u s t o
olocene,o l o ˈ t ʃ ɛ n e
omar,ˈ ɔ m a r
omar,o ˈ m a r
onorevole,O n o ˈ r e v o l e
ortotteri,o r ˈ t ɔ t t e r i
pas,p a s
padua,ˈ p a d u a
padua,ˈ p aː d u a
paleolitico,p a l e o ˈ l i t i k o
palmi,ˈ p aː l m i
pantelleria,P a n t e l l e ˈ r i a
parigi,ˈ p a r iː d ʒ ɪ
pasqua,ˈ P a s k w a
passione,P a s ˈ s j o n e
pentecoste,p e n t e ˈ k ɔ s t e
pera,ˈ p ɛ r a
pera,ˈ p e r a
pesci,ˈ p e ʃ i
pleistocene,p l e j s t o ˈ t ʃ ɛ n e
pliocene,p l i o ˈ t ʃ ɛ n e
polesine,p o ˈ l e z i n e
porta,ˈ p ɔ r t a
prima,ˈ p r i m a
primo,ˈ p r i m o
quadrilatero,K w a d r i ˈ l a t e r o
quarantotto,K w a r a n ˈ t ɔ t t o
rinascimento,r i n a ʃ ʃ i ˈ m ɛ n t o
risorgimento,R i s o r d ʒ i ˈ m e n t o
romana,r o ˈ m a n a
romani,r o ˈ m a n i
romano,r o ˈ m a n o
sagittario,s a d ʒ i t ˈ t a r j o
salvatore,s a l v a ˈ t o r e
sapienza,S a ˈ p j ɛ n t s a
satana,ˈ s a t a n a
scorpione,s k o r ˈ p j o n e
sibilla,s i ˈ b i l l a
sibille,s i ˈ b i l l e
signora,S i ˈ ɲ o r a
silvia,ˈ s i l v j a
sinfarosa,s i n f a ˈ r o s a
sinforosa,S i n f o ˈ r o s a
socini,s o ˈ t ʃ i n i
sole,ˈ s o l e
sopron,ˈ ʃ o p r o n
spagna,ˈ s p a ɲ ɲ a
tailandia,T a i ˈ l a n d i a
terra,ˈ t ɛ r r a
tesi,ˈ t e s i
tessalonicesi,t e s a l o n i ˈ t ʃ e z i
thailandia,T a i ˈ l a n d i a
timoteo,t i ˈ m ɔ t e o
tirana,t i ˈ ɾ a n ə
tito,ˈ t i t o
tommaso,t o m ˈ m a z o
toro,ˈ t ɔ r o
tortona,t o r ˈ t o n a
trento,ˈ t r ɛ n t o
urbe,ˈ u r b e
vago,ˈ v a ɡ o
vangelo,v a n ˈ d ʒ ɛ l o
vania,ˈ v a n j a
vasto,ˈ v a s t o
veneto,ˈ v ɛ n e t o
verbena,v e r ˈ b ɛ n a
vergine,ˈ v e r d ʒ i n e
yahweh,j a ˈ h w ɛ h
zoratteri,d z o ˈ r a t e r i
a,a
abachista,a b a ˈ k i s t a
abacista,a b a ˈ t ʃ i s t a
abaco,ˈ a b a k o
abacà,ˈ a b a k a
abacà,a b a ˈ k a
abadessa,a b a ˈ d e s s a
abadia,a b a ˈ d i a
abalienare,a b a l j e ˈ n a r e
abalietà,a b a l j e ˈ t a
abarico,a ˈ b a r i k ɔ
abasia,a b a ˈ z i a
abat-jour,a b a ˈ ʒ u r
abate,a ˈ b a t e
abatino,a b a ˈ t i n o
abbacchiamento,a b b a k k j a ˈ m e n t o
abbacchiare,a b b a k ˈ k j a r e
abbacchiato,a b b a k ˈ k j a t o
abbacchiatura,a b b a k k j a ˈ t u r a
abbacchio,a b ˈ b a k k j o
abbacinamento,a b b a t ʃ i n a ˈ m e n t o
abbacinare,a b b a t ʃ i ˈ n a r e
abbaco,ˈ a b b a k o
abbagliamento,a b b a ʎ ʎ a ˈ m e n t o
abbagliare,a b b a ʎ ˈ ʎ a r e
abbagliato,a b b a ʎ ˈ ʎ a t o
abbaglio,a b ˈ b a ʎ ʎ o
abbaglio,a b b a ʎ ˈ ʎ i o
abbaiamenti,a b b a ɨ a ˈ m ɛː n t i
abbaiamento,a b b a ɨ a ˈ m ɛː n t o
abbaiare,a b b a ˈ j a r e
abbaiata,a b b a ˈ j a t a
abbaiatore,a b b a j a ˈ t o r e
abbaino,a b b a ˈ i n o
abbaino,a b ˈ b a i n o
abbaio,a b ˈ b a j o
abbaio,a b b a ˈ i o
abbaione,a b b a ˈ j o n e
abballare,a b b a l ˈ l a r e
abballinare,a b b a l l i ˈ n a r e
abballottare,a b b a l l o t ˈ t a r e
abbambinare,a b b a m b i ˈ n a r e
abbambolato,a b b a m b o ˈ l a t o
abbancare,a b b a ŋ ˈ k a r e
abbandonare,a b b a n d o ˈ n a r e
abbandonato,a b b a n d o ˈ n a t o
abbandono,a b b a n ˈ d o n o
abbarbicamento,a b b a r b i k a ˈ m e n t o
abbarbicare,a b b a r b i ˈ k a r e
abbarbicarsi,a b b a r b i ˈ k a r s i
abbassalingua,a b b a s s a ˈ l i ŋ ɡ w a
abbassamento,a b b a s s a ˈ m e n t o
abbassare,a b b a s ˈ s a r e
abbasso,a b ˈ b a s s o
abbastanza,a b b a ˈ s t a n t s a
abbattere,a b ˈ b a t t e r e
abbattimento,a b b a t t i ˈ m e n t o
abbattuta,a b b a t ˈ t u t a
abbattuto,a b b a t ˈ t u t o
abbazia,a b b a t ˈ t s i a
abbaziale,a b b a t ˈ t s j a l e
abbecedario,a b b e t ʃ e ˈ d a r j o
abbellimento,a b b e l l i ˈ m e n t o
abbellire,a b b e l ˈ l i r e
abbellito,a b b e l ˈ l i t o
abbeveraggio,a b b e v e ˈ r a d d ʒ o
abbeverare,a b b e v e ˈ r a r e
abbeverata,a b b e v e ˈ r a t a
abbeveratoio,a b b e v e r a ˈ t o j o
abbiadare,a b b j a ˈ d a r e
abbicare,a b b i ˈ k a r e
abbicci,a b b i t ˈ t ʃ i
abbiccì,a b b i t ˈ t ʃ i
abbiente,a b ˈ b j ɛ n t e
abbigliamento,a b b i ʎ ʎ a ˈ m e n t o
abbigliare,a b b i ʎ ˈ ʎ a r e
abbinamento,a b b i n a ˈ m e n t o
abbinare,a b b i ˈ n a r e
abbinata,a b b i ˈ n a t a
abbindolamento,a b b i n d o l a ˈ m e n t o
abbindolare,a b b i n d o ˈ l a r e
abbioccare,a b b j o k ˈ k a r e
abbiocco,a b ˈ b j ɔ k k o
abbiosciarsi,a b b j o ʃ ˈ ʃ a r s i
abbisognare,a b b i z o ˈ g n a r e
abboccamento,a b b o k k a ˈ m e n t o
abboccare,a b b o k ˈ k a r e
abboccato,a b b o k ˈ k a t o
abboccatura,a b b o k k a ˈ t u r a
abbocco,a b ˈ b ɔ k k o
abbocconare,a b b o k k o ˈ n a r e
abbonacciare,a b b o n a t ˈ t ʃ a r e
abbonamento,a b b o n a ˈ m e n t o
abbonare,a b b o ˈ n a r e
abbondante,a b b o n ˈ d a n t e
abbondantemente,a b b o n d a n t e ˈ m e n t e
abbondanza,a b b o n ˈ d a n t s a
abbondare,a b b o n ˈ d a r e
abbordare,a b b o r ˈ d a r e
abbordo,a ˈ b o r d o
abborracciamento,a b o r a t ʃ a ˈ m e n t o
abborraccione,a b o r a ˈ t ʃ o n e
abbottonata,a b b o t t o ˈ n a t a
abbottonate,a b b o t t o ˈ n a t e
abbottonati,a b b o t t o ˈ n a t i
abbottonato,a b b o t t o ˈ n a t o
abbottonatura,a b b o t t o n a ˈ t u r a
abbottonature,a b b o t t o n a ˈ t u r e
abbozzata,a b b o t ˈ t s a t a
abbozzatore,a b b o t t s a ˈ t o r e
abbozzolarsi,a b b o t t s o ˈ l a r s i
abbracciare,a b b r a t ˈ t ʃ a r e
abbraccio,a b ˈ b r a t t ʃ o
abbreviamenti,a b b r e v j a ˈ m e n t i
abbreviamento,a b b r e v j a ˈ m e n t o
abbreviativa,a b b r e v j a ˈ t i v a
abbreviative,a b b r e v j a ˈ t i v e
abbreviativi,a b b r e v j a ˈ t i v i
abbreviativo,a b b r e v j a ˈ t i v o
abbreviatore,a b b r e v j a ˈ t o r e
abbronzatura,a b b r o n d z a ˈ t u r a
abbrustolire,a b b r u s t o ˈ l i r e
abdicare,a b d i ˈ k a r e
abdicazione,a b d i k a ˈ t s j o n e
abdurre,a b ˈ d u r r e
abduzione,a b d u t ˈ t s j o n e
aberrante,a b e r ˈ r a n t e
aberrazione,a b e r r a ˈ t s j o n e
abete,a ˈ b e t e
abietto,a ˈ b j ɛ t t o
abigeati,a b i d ʒ e ˈ a t i
abigeato,a b i d ʒ e ˈ a t o
abile,ˈ a b i l e
abilitato,a b i l i ˈ t a t o
abilità,a b i l i ˈ t a
abissale,a b i s ˈ s a l e
abissali,a b i s ˈ s a l i
abissino,a b i s ˈ s i n o
abisso,a ˈ b i s s o
abitabile,a b i ˈ t a b i l e
abitacolo,a b i ˈ t a k o l o
abitante,a b i ˈ t a n t e
abitare,a b i ˈ t a r e
abitazione,a b i t a ˈ t s j o n e
abito,ˈ a b i t o
abituale,a b i t w ˈ a l e
abitudine,a b i ˈ t u d i n e
abiurare,a b j u ˈ r a r e
ablativo,a b l a ˈ t i v o
ablatore,a b l a ˈ t o r e
abnorme,a b ˈ n ɔ r m e
abolire,a b o ˈ l i r e
abolizione,a b o l i ˈ t s j o n e
abominevole,a b o m i ˈ n e v o l e
aborigeni,a b o ˈ r i d ʒ e n i
aborigeno,a b o ˈ r i d ʒ e n o
aborrire,a b o r ˈ r i r e
aborto,a ˈ b ɔ r t o
abradere,a ˈ b r a d e r e
abrasione,a b r a ˈ z j o n e
abrogare,a b r o ˈ g a r e
abrogativo,a b r o g a ˈ t i v o
abruzzese,a b r u t ˈ t s e z e
abstract,ä b s t r ä k t
abulia,a b u ˈ l i a
abulico,a ˈ b u l i k o
abusare,a b u ˈ z a r e
abusiveness,ə ˈ b uː s ɪ v n ə s
abusivo,a b u ˈ z i v o
acacia,a ˈ k a t ʃ a
accademia,a k k a ˈ d ɛ m j a
accademico,a k k a ˈ d ɛ m i k o
accadere,a k k a ˈ d e r e
accaduto,a k k a ˈ d u t o
accagliarsi,a k k a ʎ ˈ ʎ a r s i
accalappiatore,a k k a l a p p j a ˈ t o r e
accanita,a k k a ˈ n i t a
accanitamente,a k k a n i t a ˈ m e n t e
accanite,a k k a ˈ n i t e
accaniti,a k k a ˈ n i t i
accanito,a k k a ˈ n i t o
accanto,a k ˈ k a n t o
accaparrare,a k k a p a r ˈ r a r e
accapigliato,a k k a p i ʎ ˈ ʎ a t o
accappatoio,a k k a p p a ˈ t o j o
accarezzare,a k k a r e t ˈ t s a r e
accatastare,a k k a t a s ˈ t a r e
accattone,a k k a t ˈ t o n e
accedere,a t ˈ t ʃ ɛ d e r e
accelerare,a t t ʃ e l e ˈ r a r e
accelerato,a t t ʃ e l e ˈ r a t o
acceleratore,a t t ʃ e l e r a ˈ t o r e
accelerazione,a t t ʃ e l e r a t ˈ t s j o n e
accelerina,a t t ʃ e l e ˈ r i n a
accendere,a t ˈ t ʃ ɛ n d e r e
accendino,a t t ʃ e n ˈ d i n o
accennare,a t t ʃ e n ˈ n a r e
accenno,a t ˈ t ʃ e n n o
accentato,a t t ʃ e n ˈ t a t o
accentatura,a t t ʃ ɛ n t a ˈ t u r a
accentature,a t t ʃ ɛ n t a ˈ t u r e
accento,a t ˈ t ʃ ɛ n t o
accentramento,a t t ʃ e n t r a ˈ m e n t o
accentuare,a t t ʃ e n t w ˈ a r e
accentuato,a t t ʃ e n t w ˈ a t o
accertare,a t ∫ e r ˈ t a r e
accesa,a t ˈ t ʃ e z a
accese,a t ˈ t ʃ e z e
accesi,a t ˈ t ʃ e z i
acceso,a t ˈ t ʃ e z o
accessibile,a t t ʃ e s ˈ s i b i l e
accessibilità,a t t ʃ e s s i b i l i ˈ t a
accesso,a t ˈ t ʃ ɛ s s o
accessoriato,a t t ʃ e s s o ˈ r j a t o
accettabile,a t t ʃ e t ˈ t a b i l e
accettare,a t t ʃ e t ˈ t a r e
accettazione,a t t ʃ e t t a ˈ t s j o n e
accetto,a t ˈ t ʃ ɛ t t o
accezione,a t t ʃ e ˈ t s j o n e
acchiti,a k ˈ k i t i
acchito,a k ˈ k i t o
accia,ˈ a t t ʃ a
acciabattare,a t t ʃ a b a t ˈ t a r e
acciaccatura,a t t ʃ a k k a ˈ t u r a
acciacco,a t ˈ t ʃ a k k o
acciaiatura,a t t ʃ a j a ˈ t u r a
acciaieria,a t t ʃ a j e ˈ r i a
acciaio,a t ˈ t ʃ a j o
acciambellarsi,a t t ʃ a m b e l ˈ l a r s i
acciarino,a t t ʃ a ˈ r i n o
accidentale,a t t ʃ i d e n ˈ t a l e
accidia,a t ˈ t ʃ i d j a
acciocché,a t t ʃ o k ˈ k e
accipicchia,a t t ʃ i ˈ p i k k j a
acciugata,a t t ʃ u ˈ g a t a
acclarare,a k k l a ˈ r a r e
acclusa,a k ˈ k l u z a
accluse,a k ˈ k l u z e
acclusi,a k ˈ k l u z i
accluso,a k ˈ k l u z o
accoglienza,a k k o ʎ ˈ ʎ ɛ n t s a
accogliere,a k ˈ k ɔ ʎ ʎ e r e
accoliti,a k ˈ k ɔ l i t i
accolito,a k ˈ k ɔ l i t o
accollare,a k k o l ˈ l a r e
accollato,a k k o l ˈ l a t o
accomodante,a k k o m o ˈ d a n t e
accomodare,a k k o m o ˈ d a r e
accomodevole,a k o m o ˈ d e v o l e
accompagnare,a k k o m p a ˈ ɲ ɲ a r e
acconciatura,a k k o n t ʃ a ˈ t u r a
accondiscendente,a k k o n d i ʃ ʃ e n ˈ d ɛ n t e
accondiscendere,a k k o n d i ˈ ʃ e n d e r e
accondiscendere,a k k o n d i ˈ ʃ ɛ n d e r e
acconsentire,a k k o n s e n ˈ t i r e
accontentare,a k k o n t e n ˈ t a r e
accoppiata,a k k o p ˈ p j a t a
accordo,a k ˈ k ɔ r d o
accortezza,a k k o r ˈ t e t t s a
accostamento,a k k o s t a ˈ m e n t o
accostare,a k k o ˈ s t a r e
account,ə ˈ k a ʊ n t
accozzaglia,a k k o t ˈ t s a ʎ ʎ a
accreditamento,a k k r e d i t a ˈ m e n t o
accreditare,a k k r e d i ˈ t a r e
accrescere,a k ˈ k r e ʃ ʃ e r e
accrescersi,a k ˈ k r e ʃ e r s i
accrescimento,a k k r e ʃ ʃ i ˈ m e n t o
accrescitivo,a k k r e ʃ ʃ i ˈ t i v o
accrezione,a k k r e t ˈ t s j o n e
accucciato,a k k u t ˈ t ʃ a t o
accumulare,a k k u m u ˈ l a r e
accumulatore,a k k u m u l a ˈ t o r e
accumulo,a k ˈ k u m u l o
accurate,a k k u ˈ r a t e
accurato,a k k u ˈ r a t o
accusa,a k ˈ k u z a
accusatore,a k k u z a ˈ t o r e
ace,e ɪ s
acerba,a ˈ t ʃ ɛ r b a
acerbe,a ˈ t ʃ ɛ r b e
acerbi,a ˈ t ʃ ɛ r b i
acerbo,a ˈ t ʃ ɛ r b o
acerrima,a ˈ t ʃ ɛ r r i m a
acerrimi,a ˈ t ʃ ɛ r r i m i
acerrimo,a ˈ t ʃ ɛ r r i m o
acetato,a t ʃ e ˈ t a t o
acetico,a ˈ t ʃ ɛ t i k o
acetilene,a t ʃ e t i ˈ l ɛ n e
aceto,a ˈ t ʃ e t o
achille,a ˈ k i l l e
aci-,a t ʃ i
aciclica,a ˈ t ʃ i k l i k a
acicliche,a ˈ t ʃ i k l i k e
aciclici,a ˈ t ʃ i k l i t ʃ i
aciclico,a ˈ t ʃ i k l i k o
acida,ˈ a t ʃ i d a
acide,ˈ a t ʃ i d e
acidi,ˈ a t ʃ i d i
acidità,a t ʃ i d i ˈ t a
acido,ˈ a t ʃ i d o
acino,ˈ a t ʃ i n o
acqua,ˈ a k k w a
acquaio,a k ˈ k w a j o
acquaiolo,a k k w a ˈ j ɔ l o
acquamarina,a k k w a m a ˈ r i n a
acquaplano,a k k w a ˈ p l a n o
acquaragia,a k k w a ˈ r a d ʒ a
acquario,a k ˈ k w a r j o
acquasantiera,a k k w a s a n ˈ t j ɛ r a
acquatico,a k ˈ k w a t i k o
acquazzone,a k k w a t ˈ t s o n e
acque,ˈ a k k w e
acquedotto,a k k w e ˈ d o t t o
acquemarine,a k k w e m a ˈ r i n e
acqueo,ˈ a k k w e o
acquietare,a kʷ j e ˈ t a r e
acquirente,a k k w i ˈ r ɛ n t e
acquisire,a k k w i ˈ z i r e
acquisizione,a k k w i z i t ˈ t s j o n e
acquistare,a k k w i ˈ s t a r e
acquisto,a k ˈ k w i s t o
acquitrino,a k k w i ˈ t r i n o
acquosa,a k ˈ k w o z o
acquoso,a k ˈ k w o z o
acre,ˈ a k r e
acredine,a ˈ k r ɛ d i n e
acri,ˈ a k r i
acrilica,a ˈ c r i l i k a
acriliche,a ˈ c r i l i k e
acrilici,a ˈ c r i l i t ʃ i
acrilico,a ˈ k r i l i k o
acrimonioso,a k r i m o ˈ n j o z o
acriticamente,a k r i t i k a ˈ m e n t e
acro,ˈ a k r o
acronimo,a ˈ k r ɔ n i m o
acrostico,a ˈ k r ɔ s t i k o
acuire,a k u ˈ i r e
acutissima,a k u ˈ t i s s i m e
acutissime,a k u ˈ t i s s i m e
acutissimi,a k u ˈ t i s s i m i
acutissimo,a k u ˈ t i s s i m o
acuto,a ˈ k u t o
adattamento,a d a t t a ˈ m e n t o
adattare,a d a t ˈ t a r e
adattativo,a d a t ˈ t i v o
adattato,a d a t ˈ t a t o
addebitare,a d d e b i ˈ t a r e
addensamento,a d d e n s a ˈ m e n t o
addentro,a d ˈ d e n t r o
addestramento,a d d e s t r a ˈ m e n t o
addetto,a d ˈ d e t t o
addio,a d ˈ d iː o
addirittura,a d d i r i t ˈ t u r a
additare,a d d i ˈ t a r e
additivare,a d d i t i ˈ v a r e
addizionare,a d d i t t s j o ˈ n a r e
addolorato,a d d o l o ˈ r a t o
addome,a d ˈ d ɔ m e
addomesticare,a d d o m e s t i ˈ k a r e
addormentarsi,a d ˌ d o r m e n ˌ t aː r s i
addosso,a d ˈ d ɔ s s o
adeguamento,a d e g w a ˈ m e n t o
adeguato,a d e ˈ g w a t o
adelfi,a ˈ d e l f i
adelfo,a ˈ d e l f o
adempiere,a ˈ d e m p i e r e
adempimento,a d e m p i ˈ m e n t o
adempire,a d e m ˈ p i r e
adepto,a ˈ d ɛ p t o
adesione,a d e ˈ z j o n e
adesivo,a d e ˈ z i v o
adespota,a ˈ d ɛ s p o t a
adespoto,a ˈ d ɛ s p o t o
adesso,a ˈ d ɛ s s o
adiabatica,a d j a ˈ b a t i k a
adiabatiche,a d j a ˈ b a t i k e
adiabatici,a d j a ˈ b a t i t ʃ i
adiabatico,a d j a ˈ b a t i k o
adiacente,a d j a ˈ t ʃ ɛ n t e
adipe,ˈ a d i p e
adiposità,a d i p o z i ˈ t a
adiposo,a d i ˈ p o z o
adire,a ˈ d i r e
adolescenza,a d o l e ˈ ʃ ɛ n t s a
adoperare,a d o p e ˈ r a r e
adorabile,a d o ˈ r a b i l e
adorazione,a d o r a ˈ t s j o n e
adornare,a d o r ˈ n a r e
adottare,a d o ˈ t s j o n e
adozione,a d o ˈ t s j o n e
adrenalina,a d r e n a ˈ l i n a
adulare,a d u ˈ l a r e
adulatore,a d u l a ˈ t o r e
adulazione,a d u l a ˈ t s j o n e
adulterino,a d u l t e ˈ r i n o
adulterio,a d u l ˈ t ɛ r j o
adunanza,a d u ˈ n a n t s a
adunata,a d u ˈ n a t a
adunco,a ˈ d u ŋ k o
advertising,ˈ æ d v ə t a ɪ z ɪ ŋ
aereo,a ˈ ɛ r e o
aereofagia,a e r o f a ˈ d ʒ i a
aeriforme,a e r i ˈ f o r m e
aeriformi,a e r i ˈ f o r m i
aerobio,a e ˈ r ɔ b j o
aerodinamica,a e r o d i ˈ n a m i k a
aerodinamico,a e r o d i ˈ n a m i k o
aeromotore,a e r o m o ˈ t o r e
aeronautica,a e r ɔ n a u t i k a
aeronautico,a e r o ˈ n a w t i k o
aeroplano,a e r o ˈ p l a n o
aeroporto,a e r o ˈ p ɔ r t o
aerotreno,a e r o ˈ t r ɛ n o
afa,ˈ a f a
afasia,a f a ˈ z i a
afasico,a ˈ f a z i k o
afasie,a f a ˈ z i e
aferesi,a f e ˈ r e z i
affabile,a f ˈ f a b i l e
affamare,a f f a ˈ m a r e
affare,a f ˈ f a r e
affascinante,a f f a ʃ ʃ i ˈ n a n t e
affastellato,a f f a s t e l ˈ l a t o
affermare,a f f e r ˈ m a r e
affermazione,a f f e r m a ˈ t s j o n e
afferrare,a f f e r ˈ r a r e
affettare,a f f e t ˈ t a r e
affettivo,a f f e t ˈ t i v o
affetto,a f ˈ f ɛ t t o
affettuosamente,a f f e t t w o z a ˈ m e n t e
affezionare,a f f ɛ t s j o ˈ n a r e
affezione,a f f e ˈ t s j o n e
affiancare,a f f j a ŋ ˈ k a r e
affibbiatura,a f f i b b j a ˈ t u r a
affidabile,a f f i ˈ d a r e
affidabilità,a f f i d a b i l i ˈ t a
affidamento,a f f i d a ˈ m e n t o
affidare,a f f i ˈ d a r e
affievolimento,a f f j e v o l i ˈ m e n t o
affilata,a f f i ˈ l a t a
affilate,a f f i ˈ l a t e
affilati,a f f i ˈ l a t i
affilato,a f f i ˈ l a t o
affiliazione,a f f i l j a t ˈ t s j o n e
affinità,a f f i n i ˈ t a
affissione,a f f i s ˈ s j o n e
affittanza,a f f i t ˈ t a n t s a
affittare,a f f i t ˈ t a r e
affitto,a f ˈ f i t t o
affittuario,a f f i t t w ˈ a r j o
afflare,a f ˈ f l a r e
afflati,a f ˈ f l a t i
afflato,a f ˈ f l a t o
affliggere,a f ˈ f l i d d ʒ e r e
afflitto,a f ˈ f l i t t o
afflizione,a f f l i ˈ t s j o n e
affluenza,a f f l u ˈ ɛ n t s a
affondare,a f f o n ˈ d a r e
affrancamento,a f f r a ŋ k a ˈ m e n t o
affranto,a f ˈ f r a n t o
affrescare,a f f r e ˈ s k a r e
affresco,a f ˈ f r e s k o
affrettare,a f f r e t ˈ t a r e
affrontare,a f f r o n ˈ t a r e
