headword,pronunciation
)CLOSE-PARENTHESES,ˈ k l oʊ z p ɝ ˈ ɛ n θ ə ˌ s iː z
)END-PAREN,ˈ ɛ n d p ɝ ˈ ɛ n
)END-PARENS,ˈ ɛ n d p ɝ ˈ ɛ n z
)END-PARENTHESES,ˈ ɛ n d p ɝ ˈ ɛ n θ ə ˌ s iː z
)END-THE-PAREN,ˈ ɛ n d ð ə p ɝ ˈ ɛ n
)PAREN,p ɝ ˈ ɛ n
)PARENS,p ɝ ˈ ɛ n z
)RIGHT-PAREN,ˈ ɹ aɪ t ˌ p ɛ ɹ ə n
)UN-PARENTHESES,ˈ ʌ n p ɝ ˈ ɛ n θ ə ˈ s iː z
+PLUS,ˈ p l ʊ s
",COMMA",ˈ k ɑː m ə
--DASH,ˈ d æ ʃ
-DASH,ˈ d æ ʃ
-HYPHEN,ˈ h aɪ f ə n
...ELLIPSIS,ˌ ɪ ˈ l ɪ p s ɪ s
.DECIMAL,ˈ d ɛ s ə m ə l
.DOT,ˈ d ɑː t
.FULL-STOP,ˈ f ʊ l ˈ s t ɑː p
.PERIOD,ˈ p ɪ ɹ iː ə d
.POINT,ˈ p ɔɪ n t
/SLASH,ˈ s l æ ʃ
3-D,ˈ θ ɹ iː ˌ d iː
3D,ˈ θ ɹ iː ˌ d iː
:COLON,ˈ k oʊ l ə n
;SEMI-COLON,"ˈ s ɛ m iː ˈ k oʊ l ə n , ˈ s ɛ m ɪ ˌ k oʊ l ə n"
?QUESTION-MARK,ˈ k w ɛ s t ʃ ə n ˈ m ɑː ɹ k
A,"ə , ˈ eɪ"
A'S,ˈ eɪ z
A.,ˈ eɪ
A.'S,ˈ eɪ z
A.S,ˈ eɪ z
A42128,ˈ eɪ ˈ f ɔ ɹ ˈ t uː ˈ w ʌ n ˈ t uː ˈ eɪ t
AA,ˌ eɪ ˈ eɪ
AAA,ˌ t ɹ ɪ p ə ˈ l eɪ
AABERG,ˈ ɑː b ɝ g
AACHEN,ˈ ɑː k ə n
AACHENER,ˈ ɑː k ə n ɝ
AAH,ˈ ɑː
AAKER,ˈ ɑː k ɝ
AALIYAH,ˌ ɑː ˈ l iː ˌ ɑː
AALSETH,ˈ ɑː l s ɛ θ
AAMODT,ˈ ɑː m ə t
AANCOR,ˈ ɑː n ˌ k ɔ ɹ
AARDEMA,ɑː ɹ ˈ d ɛ m ə
AARDVARK,ˈ ɑː ɹ d ˌ v ɑː ɹ k
AARDVARKS,ˈ ɑː ɹ d ˌ v ɑː ɹ k s
AARGH,ˈ ɑː ɹ g
AARON,ˈ ɛ ɹ ə n
AARON'S,ˈ ɛ ɹ ə n z
AARONS,ˈ ɛ ɹ ə n z
AARONSON,"ˈ ɛ ɹ ə n s ə n , ˈ ɑː ɹ ə n s ə n"
AARONSON'S,"ˈ ɛ ɹ ə n s ə n z , ˈ ɑː ɹ ə n s ə n z"
AARTI,ˈ ɑː ɹ ˌ t iː
AASE,ˈ ɑː s
AASEN,ˈ ɑː s ə n
AB,ˈ æ b
ABA,ˌ eɪ ˌ b iː ˈ eɪ
ABABA,"ə ˈ b ɑː b ə , ˈ ɑː b ə b ə"
ABACHA,ˈ æ b ə k ə
ABACK,ə ˈ b æ k
ABACO,ˈ æ b ə ˌ k oʊ
ABACUS,ˈ æ b ə k ə s
ABAD,ə ˈ b ɑː d
ABADAKA,ə ˈ b æ d ə k ə
ABADI,ə ˈ b æ d i
ABADIE,ə ˈ b æ d i
ABAIR,ə ˈ b ɛ ɹ
ABALKIN,ə ˈ b ɑː l k ɪ n
ABALONE,ˌ æ b ə ˈ l oʊ n i
ABALONES,ˌ æ b ə ˈ l oʊ n iː z
ABALOS,ɑː ˈ b ɑː l oʊ z
ABANDON,ə ˈ b æ n d ə n
ABANDONED,ə ˈ b æ n d ə n d
ABANDONING,ə ˈ b æ n d ə n ɪ ŋ
ABANDONMENT,ə ˈ b æ n d ə n m ə n t
ABANDONMENTS,ə ˈ b æ n d ə n m ə n t s
ABANDONS,ə ˈ b æ n d ə n z
ABANTO,ə ˈ b æ n t oʊ
ABARCA,ə ˈ b ɑː ɹ k ə
ABARE,ɑː ˈ b ɑː ɹ i
ABASCAL,ˈ æ b ə s k ə l
ABASH,ə ˈ b æ ʃ
ABASHED,ə ˈ b æ ʃ t
ABASIA,ə ˈ b eɪ ʒ j ə
ABATE,ə ˈ b eɪ t
ABATED,ə ˈ b eɪ t ɪ d
ABATEMENT,ə ˈ b eɪ t m ə n t
ABATEMENTS,ə ˈ b eɪ t m ə n t s
ABATES,ə ˈ b eɪ t s
ABATING,ə ˈ b eɪ t ɪ ŋ
ABBA,ˈ æ b ə
ABBADO,ə ˈ b ɑː d oʊ
ABBAS,ə ˈ b ɑː s
ABBASI,ɑː ˈ b ɑː s i
ABBATE,ˈ ɑː b eɪ t
ABBATIELLO,ɑː b ɑː t iː ˈ ɛ l oʊ
ABBE,"ˈ æ b i , æ ˈ b eɪ"
ABBENHAUS,ˈ æ b ə n ˌ h aʊ s
ABBETT,ə ˈ b ɛ t
ABBEVILLE,ˈ æ b v ɪ l
ABBEY,ˈ æ b i
ABBEY'S,ˈ æ b iː z
ABBIE,ˈ æ b i
ABBITT,ˈ æ b ɪ t
ABBOT,ˈ æ b ə t
ABBOTSTOWN,ˈ æ b ə t ˈ s t aʊ n
ABBOTT,ˈ æ b ə t
ABBOTT'S,ˈ æ b ə t s
ABBOTTSTOWN,ˈ æ b ə t ˈ s t aʊ n
ABBOUD,"ə ˈ b uː d , ə ˈ b aʊ d"
ABBREVIATE,ə ˈ b ɹ iː v iː ˌ eɪ t
ABBREVIATED,ə ˈ b ɹ iː v iː ˌ eɪ t ɪ d
ABBREVIATES,ə ˈ b ɹ iː v iː ˌ eɪ t s
ABBREVIATING,ə ˈ b ɹ iː v iː ˌ eɪ t ɪ ŋ
ABBREVIATION,ə ˌ b ɹ iː v iː ˈ eɪ ʃ ə n
ABBREVIATIONS,ə ˌ b ɹ iː v iː ˈ eɪ ʃ ə n z
ABBRUZZESE,ɑː b ɹ uː t ˈ s eɪ z i
ABBS,ˈ æ b z
ABBY,ˈ æ b i
ABC,ˈ eɪ ˌ b iː ˌ s iː
ABC'S,ˈ eɪ ˌ b iː ˌ s iː z
ABCO,ˈ æ b k oʊ
ABCOTEK,ˈ æ b k oʊ ˌ t ɛ k
ABCS,ˈ eɪ ˌ b iː ˌ s iː z
ABDALLA,ˌ æ b ˈ d æ l ə
ABDALLAH,ˌ æ b ˈ d æ l ə
ABDEL,ˈ æ b ˌ d ɛ l
ABDELLA,ˌ æ b ˈ d ɛ l ə
ABDICATE,ˈ æ b d ə ˌ k eɪ t
ABDICATED,ˈ æ b d ə ˌ k eɪ t ə d
ABDICATES,ˈ æ b d ə ˌ k eɪ t s
ABDICATING,ˈ æ b d ɪ ˌ k eɪ t ɪ ŋ
ABDICATION,ˌ æ b d ɪ ˈ k eɪ ʃ ə n
ABDNOR,ˈ æ b d n ɝ
ABDO,ˈ æ b d oʊ
ABDOLLAH,ˌ æ b ˈ d ɑː l ə
ABDOMEN,"æ b ˈ d oʊ m ə n , ˈ æ b d ə m ə n"
ABDOMINAL,"æ b ˈ d ɑː m ə n ə l , ə b ˈ d ɑː m ə n ə l"
ABDUCT,æ b ˈ d ʌ k t
ABDUCTED,"æ b ˈ d ʌ k t ɪ d , ə b ˈ d ʌ k t ɪ d"
ABDUCTEE,æ b ˌ d ə k ˈ t iː
ABDUCTEES,æ b ˌ d ə k ˈ t iː z
ABDUCTING,"æ b ˈ d ʌ k t ɪ ŋ , ə b ˈ d ʌ k t ɪ ŋ"
ABDUCTION,"æ b ˈ d ʌ k ʃ ə n , ə b ˈ d ʌ k ʃ ə n"
ABDUCTIONS,"æ b ˈ d ʌ k ʃ ə n z , ə b ˈ d ʌ k ʃ ə n z"
ABDUCTOR,"æ b ˈ d ʌ k t ɝ , ə b ˈ d ʌ k t ɝ"
ABDUCTORS,"æ b ˈ d ʌ k t ɝ z , ə b ˈ d ʌ k t ɝ z"
ABDUCTS,æ b ˈ d ʌ k t s
ABDUL,æ b ˈ d uː l
ABDULAZIZ,æ b ˌ d uː l ə ˈ z iː z
ABDULLA,ɑː b ˈ d uː l ə
ABDULLAH,ˌ æ b ˈ d ʌ l ə
ABE,ˈ eɪ b
ABED,ə ˈ b ɛ d
ABEDI,ə ˈ b ɛ d i
ABEE,ə ˈ b iː
ABEL,ˈ eɪ b ə l
ABELA,ɑː ˈ b ɛ l ə
ABELARD,ˈ æ b ɪ l ɝ d
ABELE,ə ˈ b ɛ l
ABELES,"ə ˈ b ɛ l z , ˈ eɪ b ə ˌ l iː z"
ABELL,ˈ eɪ b ə l
ABELLA,ə ˈ b ɛ l ə
ABELN,ˈ æ b ɪ l n
ABELOW,ˈ æ b ə l oʊ
ABELS,ˈ eɪ b ə l z
ABELSON,ˈ æ b ɪ l s ə n
ABEND,"ˈ æ b ɛ n d , ə ˈ b ɛ n d"
ABENDROTH,ˈ æ b ɪ n d ɹ ɔ θ
ABER,ˈ eɪ b ɝ
ABERCROMBIE,ˌ æ b ɝ ˈ k ɹ ɑː m b i
ABERDEEN,ˈ æ b ɝ ˌ d iː n
ABERFORD,ˈ eɪ b ɝ f ɝ d
ABERG,ˈ æ b ɝ g
ABERLE,"ˈ æ b ɝ ə l , ˈ æ b ɝ l"
ABERMIN,ˈ æ b ɝ m ɪ n
ABERNATHY,ˈ æ b ɝ ˌ n æ θ i
ABERNETHY,ˈ æ b ɝ ˌ n ɛ θ i
ABERRANT,æ ˈ b ɛ ɹ ə n t
ABERRATION,ˌ æ b ɝ ˈ eɪ ʃ ə n
ABERRATIONAL,ˌ æ b ɝ ˈ eɪ ʃ ə n ə l
ABERRATIONS,ˌ æ b ɝ ˈ eɪ ʃ ə n z
ABERT,ˈ æ b ɝ t
ABET,ə ˈ b ɛ t
ABETTED,ə ˈ b ɛ t ɪ d
ABETTING,ə ˈ b ɛ t ɪ ŋ
ABEX,ˈ eɪ b ɛ k s
ABEYANCE,ə ˈ b eɪ ə n s
ABEYTA,ɑː ˈ b eɪ t ə
ABHOR,æ b ˈ h ɔ ɹ
ABHORRED,ə b ˈ h ɔ ɹ d
ABHORRENCE,ə b ˈ h ɔ ɹ ə n s
ABHORRENT,æ b ˈ h ɔ ɹ ə n t
ABHORS,ə b ˈ h ɔ ɹ z
ABIAM,ˈ eɪ b iː ə m
ABIAM'S,ˈ eɪ b iː ə m z
ABID,ˈ eɪ b ɪ d
ABIDE,ə ˈ b aɪ d
ABIDED,ə ˈ b aɪ d ɪ d
ABIDES,ə ˈ b aɪ d z
ABIDING,ə ˈ b aɪ d ɪ ŋ
ABIDJAN,æ b ɪ ˈ d ʒ ɑː n
ABIE,ˈ æ b i
ABIGAIL,ˈ æ b ə ˌ g eɪ l
ABILA,ɑː ˈ b iː l ə
ABILENE,ˈ æ b ɪ ˌ l iː n
ABILITIES,ə ˈ b ɪ l ə ˌ t iː z
ABILITY,ə ˈ b ɪ l ə ˌ t iː
ABIMAEL,ˌ æ b ɪ ˈ m eɪ l
ABIMAELS,ˌ æ b ɪ ˈ m eɪ l z
ABINGDON,ˈ æ b ɪ ŋ d ə n
ABINGTON,ˈ æ b ɪ ŋ t ə n
ABIO,ˈ ɑː b iː oʊ
ABIOLA,ˌ ɑː b iː ˈ oʊ l ə
ABIOLA'S,ˌ ɑː b iː ˈ oʊ l ə z
ABIOMED,e ɪ ˈ b iː ə m ɛ d
ABIQUIU,ə ˈ b ɪ k j uː
ABITIBI,ˌ æ b ɪ ˈ t iː b i
ABITZ,ˈ æ b ɪ t s
ABJECT,ˈ æ b d ʒ ɛ k t
ABKHAZIA,"æ b ˈ k ɑː z j ə , æ b ˈ k æ z j ə"
ABKHAZIAN,"æ b ˈ k ɑː z iː ə n , æ b ˈ k æ z iː ə n , æ b ˈ k ɑː z j ə n , æ b ˈ k æ z j ə n"
ABKHAZIANS,"æ b ˈ k ɑː z iː ə n z , æ b ˈ k æ z iː ə n z"
ABLAZE,ə ˈ b l eɪ z
ABLE,ˈ eɪ b ə l
ABLE-BODIED,ˈ eɪ b ə l ˈ b ɑː d iː d
ABLED,ˈ eɪ b ə l d
ABLER,"ˈ eɪ b ə l ɝ , ˈ eɪ b l ɝ"
ABLES,ˈ eɪ b ə l z
ABLEST,"ˈ eɪ b ə l s t , ˈ eɪ b l ə s t"
ABLOOM,ə ˈ b l uː m
ABLY,ˈ eɪ b l i
ABNEGATION,ˌ æ b n ɛ ˈ g eɪ ʃ ə n
ABNER,ˈ æ b n ɝ
ABNEY,ˈ æ b n i
ABNORMAL,æ b ˈ n ɔ ɹ m ə l
ABNORMALITIES,ˌ æ b n ɔ ɹ ˈ m æ l ə t iː z
ABNORMALITY,ˌ æ b n ɔ ɹ ˈ m æ l ə t i
ABNORMALLY,æ b ˈ n ɔ ɹ m ə l i
ABO,ˈ ɑː b oʊ
ABO'S,ˈ ɑː b oʊ z
ABOARD,ə ˈ b ɔ ɹ d
ABODE,ə ˈ b oʊ d
ABOHALIMA,æ b ə h ə ˈ l iː m ə
ABOLISH,ə ˈ b ɑː l ɪ ʃ
ABOLISHED,ə ˈ b ɑː l ɪ ʃ t
ABOLISHES,ə ˈ b ɑː l ɪ ʃ ɪ z
ABOLISHING,ə ˈ b ɑː l ɪ ʃ ɪ ŋ
ABOLITION,ˌ æ b ə ˈ l ɪ ʃ ə n
ABOLITIONISM,ˌ æ b ə ˈ l ɪ ʃ ə ˌ n ɪ z ə m
ABOLITIONIST,ˌ æ b ə ˈ l ɪ ʃ ə n ə s t
ABOLITIONISTS,"ˌ æ b ə ˈ l ɪ ʃ ə n ə s t s , ˌ æ b ə ˈ l ɪ ʃ ə n ə s"
ABOMINABLE,ə ˈ b ɑː m ə n ə b ə l
ABOMINATION,ə ˌ b ɑː m ə ˈ n eɪ ʃ ə n
ABOMINATIONS,ə ˌ b ɑː m ə ˈ n eɪ ʃ ə n z
ABOOD,ə ˈ b uː d
ABOODI,ə ˈ b uː d i
ABOR,ə ˈ b ɔ ɹ
ABORIGINAL,ˌ æ b ɝ ˈ ɪ d ʒ ə n ə l
ABORIGINE,ˌ æ b ɝ ˈ ɪ d ʒ ə n i
ABORIGINES,ˌ æ b ɝ ˈ ɪ d ʒ ə n iː z
ABORN,ə ˈ b ɔ ɹ n
ABORT,ə ˈ b ɔ ɹ t
ABORTED,ə ˈ b ɔ ɹ t ɪ d
ABORTIFACIENT,ə ˌ b ɔ ɹ t ə ˈ f eɪ ʃ ə n t
ABORTIFACIENTS,ə ˌ b ɔ ɹ t ə ˈ f eɪ ʃ ə n t s
ABORTING,ə ˈ b ɔ ɹ t ɪ ŋ
ABORTION,ə ˈ b ɔ ɹ ʃ ə n
ABORTIONIST,ə ˈ b ɔ ɹ ʃ ə n ɪ s t
ABORTIONISTS,"ə ˈ b ɔ ɹ ʃ ə n ɪ s t s , ə ˈ b ɔ ɹ ʃ ə n ɪ s"
ABORTIONS,ə ˈ b ɔ ɹ ʃ ə n z
ABORTIVE,ə ˈ b ɔ ɹ t ɪ v
ABORTS,ə ˈ b ɔ ɹ t s
ABOTT,ə ˈ b ɑː t
ABOU,ə ˈ b uː
ABOUD,ɑː ˈ b uː d
ABOUHALIMA,ˌ ɑː b uː h ɑː ˈ l iː m ə
ABOUHALIMA'S,ˌ ɑː b uː h ɑː ˈ l iː m ə z
ABOUND,ə ˈ b aʊ n d
ABOUNDED,ə ˈ b aʊ n d ɪ d
ABOUNDING,ə ˈ b aʊ n d ɪ ŋ
ABOUNDS,ə ˈ b aʊ n d z
ABOUT,ə ˈ b aʊ t
ABOUT'S,ə ˈ b aʊ t s
ABOVE,ə ˈ b ʌ v
ABOVE'S,ə ˈ b ʌ v z
ABOVEBOARD,ə ˈ b ʌ v ˌ b ɔ ɹ d
ABPLANALP,ˈ æ b p l ə n æ l p
ABRA,ˈ ɑː b ɹ ə
ABRACADABRA,ˌ æ b ɹ ə k ə ˈ d æ b ɹ ə
ABRAHAM,ˈ eɪ b ɹ ə ˌ h æ m
ABRAHAMIAN,ˌ æ b ɹ ə ˈ h eɪ m iː ə n
ABRAHAMS,ˈ eɪ b ɹ ə ˌ h æ m z
ABRAHAMSEN,æ b ɹ ə ˈ h æ m s ə n
ABRAHAMSON,ə ˈ b ɹ æ h ə m s ə n
ABRAM,ə ˈ b ɹ æ m
ABRAM'S,ˈ eɪ b ɹ ə m z
ABRAMCZYK,ˈ ɑː b ɹ ə m t ʃ ɪ k
ABRAMO,ɑː ˈ b ɹ ɑː m oʊ
ABRAMOVITZ,ə ˈ b ɹ ɑː m ə v ɪ t s
ABRAMOWICZ,ə ˈ b ɹ ɑː m ə v ɪ t ʃ
ABRAMOWITZ,ə ˈ b ɹ ɑː m ə w ɪ t s
ABRAMS,ˈ eɪ b ɹ ə m z
ABRAMS'S,ˈ eɪ b ɹ ə m z ɪ z
ABRAMSON,ˈ eɪ b ɹ ə m s ə n
ABRASION,ə ˈ b ɹ eɪ ʒ ə n
ABRASIONS,ə ˈ b ɹ eɪ ʒ ə n z
ABRASIVE,ə ˈ b ɹ eɪ s ɪ v
ABRASIVES,ə ˈ b ɹ eɪ s ɪ v z
ABRAXA,ə ˈ b ɹ æ k s ə
ABRAXA'S,ə ˈ b ɹ æ k s ə z
ABRAXAS,ə ˈ b ɹ æ k s ə z
ABREAST,ə ˈ b ɹ ɛ s t
ABREGO,ɑː ˈ b ɹ ɛ g oʊ
ABREU,ə ˈ b ɹ uː
ABRIDGE,ə ˈ b ɹ ɪ d ʒ
ABRIDGED,ə ˈ b ɹ ɪ d ʒ d
ABRIDGEMENT,ə ˈ b ɹ ɪ d ʒ m ə n t
ABRIDGES,ə ˈ b ɹ ɪ d ʒ ə z
ABRIDGING,ə ˈ b ɹ ɪ d ʒ ɪ ŋ
ABRIL,ə ˈ b ɹ ɪ l
ABROAD,ə ˈ b ɹ ɔ d
ABROGATE,ˈ æ b ɹ ə ˌ g eɪ t
ABROGATED,ˈ æ b ɹ ə ˌ g eɪ t ɪ d
ABROGATING,ˈ æ b ɹ ə ˌ g eɪ t ɪ ŋ
ABROGATION,ˌ æ b ɹ ə ˈ g eɪ ʃ ə n
ABROL,ə ˈ b ɹ oʊ l
ABRON,ə ˈ b ɹ ɑː n
ABRUPT,ə ˈ b ɹ ʌ p t
ABRUPTLY,ə ˈ b ɹ ʌ p t l i
ABRUPTNESS,ə ˈ b ɹ ʌ p t n ə s
ABRUTYN,ˈ eɪ b ɹ uː t ɪ n
ABRUZZESE,ɑː b ɹ uː t ˈ s eɪ z i
ABRUZZO,ɑː ˈ b ɹ uː z oʊ
ABS,"ˈ eɪ ˈ b iː ˈ ɛ s , ˈ æ b z"
ABSALOM,ˈ æ b s ə l ə m
ABSARAKA,æ b ˈ s ɑː ɹ ə k ə
ABSCAM,ˈ æ b s k æ m
ABSCESS,ˈ æ b ˌ s ɛ s
ABSCOND,æ b ˈ s k ɑː n d
ABSCONDED,æ b ˈ s k ɑː n d ə d
ABSCONDING,æ b ˈ s k ɑː n d ɪ ŋ
ABSCONDS,æ b ˈ s k ɑː n d z
ABSECON,ˈ æ b s ə k ɔ n
ABSENCE,ˈ æ b s ə n s
ABSENCES,ˈ æ b s ə n s ɪ z
ABSENT,ˈ æ b s ə n t
ABSENTEE,ˌ æ b s ə n ˈ t iː
ABSENTEEISM,ˌ æ b s ə n ˈ t iː ɪ z ə m
ABSENTEES,ˌ æ b s ə n ˈ t iː z
ABSENTIA,æ b ˈ s ɛ n ʃ ə
ABSHER,ˈ æ b ʃ ɝ
ABSHIER,ˈ æ b ʃ iː ɝ
ABSHIRE,ˈ æ b ˌ ʃ aɪ ɹ
ABSINTHE,ˈ æ b s ɪ n θ
ABSO,ˈ æ b s oʊ
ABSOLOM,ˈ æ b s ə l ə m
ABSOLUT,ˌ æ b s ə ˈ l uː t
ABSOLUT'S,ˌ æ b s ə ˈ l uː t s
ABSOLUTE,ˈ æ b s ə ˌ l uː t
ABSOLUTELY,ˌ æ b s ə ˈ l uː t l i
ABSOLUTENESS,ˈ æ b s ə ˌ l uː t n ə s
ABSOLUTES,ˈ æ b s ə ˌ l uː t s
ABSOLUTION,ˌ æ b s ə ˈ l uː ʃ ə n
ABSOLUTISM,ˈ æ b s ə ˌ l uː ˌ t ɪ z ə m
ABSOLUTIST,æ b s ə ˈ l uː t ɪ s t
ABSOLVE,"ə b ˈ z ɑː l v , æ b ˈ z ɑː l v"
ABSOLVED,"ə b ˈ z ɑː l v d , æ b ˈ z ɑː l v d"
ABSOLVES,"ə b ˈ z ɑː l v z , æ b ˈ z ɑː l v z"
ABSOLVING,"ə b ˈ z ɑː l v ɪ ŋ , æ b ˈ z ɑː l v ɪ ŋ"
ABSORB,ə b ˈ z ɔ ɹ b
ABSORBED,ə b ˈ z ɔ ɹ b d
ABSORBENCY,ə b ˈ z ɔ ɹ b ə n s i
ABSORBENT,ə b ˈ z ɔ ɹ b ə n t
ABSORBER,ə b ˈ z ɔ ɹ b ɝ
ABSORBERS,ə b ˈ z ɔ ɹ b ɝ z
ABSORBING,ə b ˈ z ɔ ɹ b ɪ ŋ
ABSORBS,ə b ˈ z ɔ ɹ b z
ABSORPTION,"ə b ˈ z ɔ ɹ p ʃ ə n , ə b ˈ s ɔ ɹ p ʃ ə n"
ABSTAIN,"ə b ˈ s t eɪ n , æ b ˈ s t eɪ n"
ABSTAINED,"ə b ˈ s t eɪ n d , æ b ˈ s t eɪ n d"
ABSTAINING,"ə b ˈ s t eɪ n ɪ ŋ , æ b ˈ s t eɪ n ɪ ŋ"
ABSTENTION,"ə b ˈ s t ɛ n t ʃ ə n , æ b ˈ s t ɛ n t ʃ ə n"
ABSTENTIONS,"ə b ˈ s t ɛ n t ʃ ə n z , æ b ˈ s t ɛ n t ʃ ə n z"
ABSTINENCE,ˈ æ b s t ə n ə n s
ABSTINENT,ˈ æ b s t ə n ə n t
ABSTON,ˈ æ b s t ə n
ABSTRACT,"æ b ˈ s t ɹ æ k t , ˈ æ b ˌ s t ɹ æ k t"
ABSTRACTED,ˈ æ b ˌ s t ɹ æ k t ɪ d
ABSTRACTION,æ b ˈ s t ɹ æ k ʃ ə n
ABSTRACTIONS,æ b ˈ s t ɹ æ k ʃ ə n z
ABSTRACTS,ˈ æ b s t ɹ æ k t s
ABSTRUSE,ə b ˈ s t ɹ uː s
ABSURD,ə b ˈ s ɝː d
ABSURDIST,ə b ˈ s ɝː d ɪ s t
ABSURDITIES,ə b ˈ s ɝː d ə t iː z
ABSURDITY,ə b ˈ s ɝː d ə t i
ABSURDLY,ə b ˈ s ɝː d l i
ABT,"ˈ æ b t , ˈ eɪ ˈ b iː ˈ t iː"
ABTS,"ˈ æ b t s , ˈ eɪ ˈ b iː ˈ t iː z , ˈ eɪ ˈ b iː ˈ t iː ˈ ɛ s"
ABU,ˈ æ b uː
ABUDRAHM,ə ˈ b ʌ d ɹ ə m
ABUELLAH,ə b ˈ w ɛ l ə
ABUELLAH'S,ə b ˈ w ɛ l ə z
ABULADZE,ˌ æ b j uː ˈ l æ d z i
ABUNDANCE,ə ˈ b ʌ n d ə n s
ABUNDANT,ə ˈ b ʌ n d ə n t
ABUNDANTLY,ə ˈ b ʌ n d ə n t l i
ABURTO,ə ˈ b ʊ ɹ ˌ t oʊ
ABURTO'S,ə ˈ b ʊ ɹ ˌ t oʊ z
ABUSE,"ə ˈ b j uː s , ə ˈ b j uː z"
ABUSED,ə ˈ b j uː z d
ABUSER,ə ˈ b j uː z ɝ
ABUSERS,ə ˈ b j uː z ɝ z
ABUSES,"ə ˈ b j uː s ɪ z , ə ˈ b j uː z ɪ z"
ABUSING,ə ˈ b j uː z ɪ ŋ
ABUSIVE,ə ˈ b j uː s ɪ v
ABUT,ə ˈ b ʌ t
ABUTS,ə ˈ b ʌ t s
ABUTTED,ə ˈ b ʌ t ə d
ABUTTING,ə ˈ b ʌ t ɪ ŋ
ABUZZ,ə ˈ b ʌ z
ABYSMAL,ə ˈ b ɪ z m ə l
ABYSMALLY,ə ˈ b ɪ z m ə l i
ABYSS,ə ˈ b ɪ s
ABYSSINIA,æ b ˈ s ɪ ˌ n iː ə
ABYSSINIAN,æ b ˈ s ɪ ˌ n iː ə n
ABZUG,"ˈ æ b ˌ z ə g , ˈ æ b ˌ z ʊ g"
AC,ˈ eɪ ˈ s iː
ACA,ˈ æ k ə
ACACIA,ə ˈ k eɪ ʃ ə
ACADEME,ˈ æ k ə ˌ d iː m
ACADEMIA,ˌ æ k ə ˈ d iː m iː ə
ACADEMIC,ˌ æ k ə ˈ d ɛ m ɪ k
ACADEMICALLY,ˌ æ k ə ˈ d ɛ m ɪ k l i
ACADEMICIAN,ˌ æ k ə d ə ˈ m ɪ ʃ ə n
ACADEMICIANS,"ˌ æ k ə d ə ˈ m ɪ ʃ ə n z , ə ˌ k æ d ə ˈ m ɪ ʃ ə n z"
ACADEMICS,ˌ æ k ə ˈ d ɛ m ɪ k s
ACADEMIES,ə ˈ k æ d ə m iː z
ACADEMY,ə ˈ k æ d ə m i
ACADEMY'S,ə ˈ k æ d ə m iː z
ACADIA,ə ˈ k eɪ d iː ə
ACAMPO,ə ˈ k ɑː m p oʊ
ACAMPORA,ə ˈ k æ m p ɝ ə
ACAMPSIA,ə ˈ k æ m p s j ə
ACANTHA,ɑː ˈ k ɑː n ð ə
